Title,Note,URL,Comment
STAND,,https://www.google.com/maps/place/STAND/data=!4m2!3m1!1s0x6018f253f2c543bd:0x1a7dc7d8d368caec,
アニソンバーギルド,,https://www.google.com/maps/place/%E3%82%A2%E3%83%8B%E3%82%BD%E3%83%B3%E3%83%90%E3%83%BC%E3%82%AE%E3%83%AB%E3%83%89/data=!4m2!3m1!1s0x60188d281c382589:0x4ac1126860d9b4fb,
FTMBAR 2's CABIN TOKYO,"Trans ftm place, 1500 table charge for english and 1000 otherwise wtf lol",https://www.google.com/maps/place/FTMBAR+2's+CABIN+TOKYO/data=!4m2!3m1!1s0x60188dc80cbfbbb9:0xea8625243906ae9d,
ビビビ。beer beer beer,"Only domestic beer
Yudai works hee",https://www.google.com/maps/place/%E3%83%93%E3%83%93%E3%83%93%E3%80%82beer+beer+beer/data=!4m2!3m1!1s0x60188b7b13544bf1:0xe0e30ae5e1735066,
BAR MUGEN,Anime bar went with will and james landino and gadi,https://www.google.com/maps/place/BAR+MUGEN/data=!4m2!3m1!1s0x6018f364a4aac65d:0xb7e1b01d5d3b039d,
ヒシモ,Wine bar went with gadi 24/8/1,https://www.google.com/maps/place/%E3%83%92%E3%82%B7%E3%83%A2/data=!4m2!3m1!1s0x6018f36ae464d3f7:0x2d0a6d820e617a83,
Bar Baron 渋谷 whisky&cocktail,"6600 for two whiskeys but great vibes
Went with roy",https://www.google.com/maps/place/Bar+Baron+%E6%B8%8B%E8%B0%B7+whisky%26cocktail/data=!4m2!3m1!1s0x60188d55a3437a79:0xd0f8dcf813559bb7,
LOST,,https://www.google.com/maps/place/LOST/data=!4m2!3m1!1s0x60188d006156b587:0x580fcf1da447ae0,
いーぐる,,https://www.google.com/maps/place/%E3%81%84%E3%83%BC%E3%81%90%E3%82%8B/data=!4m2!3m1!1s0x60188c8ba1f037e5:0xaca919f4b1f671e7,
えびす駄菓子バー,Will James went,https://www.google.com/maps/place/%E3%81%88%E3%81%B3%E3%81%99%E9%A7%84%E8%8F%93%E5%AD%90%E3%83%90%E3%83%BC/data=!4m2!3m1!1s0x60188b413f914c7b:0xc4916fadbb02427e,
TASUICHI,,https://www.google.com/maps/place/TASUICHI/data=!4m2!3m1!1s0x60188ca970e68463:0xab135d50f5dfe39,
プラネタリウムバー,,https://www.google.com/maps/place/%E3%83%97%E3%83%A9%E3%83%8D%E3%82%BF%E3%83%AA%E3%82%A6%E3%83%A0%E3%83%90%E3%83%BC/data=!4m2!3m1!1s0x60188b04e8ac0fe9:0x7b3380731e3e3163,
バー 門,,https://www.google.com/maps/place/%E3%83%90%E3%83%BC+%E9%96%80/data=!4m2!3m1!1s0x60188ca9a55c462f:0x149c1d70e27dc0c4,
The Mint Ginza | Rooftop Cafe & Bar,,https://www.google.com/maps/place/The+Mint+Ginza+%7C+Rooftop+Cafe+%26+Bar/data=!4m2!3m1!1s0x60188bc1d14ab539:0x40b5ba717f087cd,
SOUND BAR HOWL,,https://www.google.com/maps/place/SOUND+BAR+HOWL/data=!4m2!3m1!1s0x6018895e8f6b4791:0x8df7af7cc9a1fc54,
The SG Club,"Unique cocktails, nice atmosphere, 3.8k for two cocktails",https://www.google.com/maps/place/The+SG+Club/data=!4m2!3m1!1s0x60188caf2f129707:0x7e601ba95d199ecb,
