Title,Note,URL,Comment
Le Vietnam,,https://www.google.com/maps/place/Le+Vietnam/data=!4m2!3m1!1s0x2a32bad700000001:0xa311cad9a7b77ccf,
Pepper Lunch,,https://www.google.com/maps/place/Pepper+Lunch/data=!4m2!3m1!1s0x2a32bad64be0589d:0x127eb1b11404595d,
JuJu Chicken,,https://www.google.com/maps/place/JuJu+Chicken/data=!4m2!3m1!1s0x2a32bad4509cf0a5:0x2c542497137b559b,
Betty's Burgers,,https://www.google.com/maps/place/Betty's+Burgers/data=!4m2!3m1!1s0x2a32bb5400419483:0xdfff9e5b8c4b45da,
Furaibo Izakaya Bar & Restaurant,,https://www.google.com/maps/place/Furaibo+Izakaya+Bar+%26+Restaurant/data=!4m2!3m1!1s0x2a32bbdaa56d4d0b:0x95746fea170ab0e8,
Hifumiya Udon Noodle House,,https://www.google.com/maps/place/Hifumiya+Udon+Noodle+House/data=!4m2!3m1!1s0x2a32bbee800ce467:0x3003927d9299e7c3,
Toastface Grillah,,https://www.google.com/maps/place/Toastface+Grillah/data=!4m2!3m1!1s0x2a32bb633cc37acf:0x6ddccbd8d4c371dc,
Chop Chop BBQ,,https://www.google.com/maps/place/Chop+Chop+BBQ/data=!4m2!3m1!1s0x2a32bbf994bf4e6d:0x54cdb349177b59b8,
Wasabi Japanese Takeaway,,https://www.google.com/maps/place/Wasabi+Japanese+Takeaway/data=!4m2!3m1!1s0x2a32bb0c3088f8df:0x83a5478f3f4b3d3,
Zensaki Allendale,,https://www.google.com/maps/place/Zensaki+Allendale/data=!4m2!3m1!1s0x2a32bad600ac12cb:0x6acfe4b8352f7a1d,
SOI 57,,https://www.google.com/maps/place/SOI+57/data=!4m2!3m1!1s0x2a32bb209ea0d105:0x993e6d34ca4384c3,
