Title,Note,URL,Comment
異味香（イーウェイシャン）,"3.56 tabelog
Old lady so nice
33 years here?
Famous for shandong style dumplings (shumai and jiaozi)",https://www.google.com/maps/place/%E7%95%B0%E5%91%B3%E9%A6%99%EF%BC%88%E3%82%A4%E3%83%BC%E3%82%A6%E3%82%A7%E3%82%A4%E3%82%B7%E3%83%A3%E3%83%B3%EF%BC%89/data=!4m2!3m1!1s0x601894a5a7f23d3d:0xca1781463688b0da,
TikTea西川口店,,https://www.google.com/maps/place/TikTea%E8%A5%BF%E5%B7%9D%E5%8F%A3%E5%BA%97/data=!4m2!3m1!1s0x601895d570f4cdf3:0x98b7ec76e51cee9a,
川渝巷,Sichuan only place yx likes in nishikawaguchi,https://www.google.com/maps/place/%E5%B7%9D%E6%B8%9D%E5%B7%B7/data=!4m2!3m1!1s0x60189510b6cee8c7:0x5be45e048b884104,
本格湖南料理 李厨 上野店,,https://www.google.com/maps/place/%E6%9C%AC%E6%A0%BC%E6%B9%96%E5%8D%97%E6%96%99%E7%90%86+%E6%9D%8E%E5%8E%A8+%E4%B8%8A%E9%87%8E%E5%BA%97/data=!4m2!3m1!1s0x60188ff3bf0739cb:0x21f02c279f2a2838,
楊国福 東京下北沢店,,https://www.google.com/maps/place/%E6%A5%8A%E5%9B%BD%E7%A6%8F+%E6%9D%B1%E4%BA%AC%E4%B8%8B%E5%8C%97%E6%B2%A2%E5%BA%97/data=!4m2!3m1!1s0x6018f3455e0191a9:0x1fd68384399af99e,
みみ煎餅菓子 本格中華小吃店,,https://www.google.com/maps/place/%E3%81%BF%E3%81%BF%E7%85%8E%E9%A4%85%E8%8F%93%E5%AD%90+%E6%9C%AC%E6%A0%BC%E4%B8%AD%E8%8F%AF%E5%B0%8F%E5%90%83%E5%BA%97/data=!4m2!3m1!1s0x60188d41dc58af93:0x681498277c267508,
川府麻辣烫,,https://www.google.com/maps/place/%E5%B7%9D%E5%BA%9C%E9%BA%BB%E8%BE%A3%E7%83%AB/data=!4m2!3m1!1s0x601895de286185fd:0x1685e81cc92d36d5,
千里香 新宿店,Went with isi group after yomiuri,https://www.google.com/maps/place/%E5%8D%83%E9%87%8C%E9%A6%99+%E6%96%B0%E5%AE%BF%E5%BA%97/data=!4m2!3m1!1s0x60188d1cc9b6ae63:0x980ca2bff150558d,
小尾羊サラームHalal 新大久保店,"Scallion, lamb, salt Pancakes",https://www.google.com/maps/place/%E5%B0%8F%E5%B0%BE%E7%BE%8A%E3%82%B5%E3%83%A9%E3%83%BC%E3%83%A0Halal+%E6%96%B0%E5%A4%A7%E4%B9%85%E4%BF%9D%E5%BA%97/data=!4m2!3m1!1s0x60188df42cf1234f:0xcd2f248898f527f5,
南南鶏蛋肉漢堡,Fried red bean thing,https://www.google.com/maps/place/%E5%8D%97%E5%8D%97%E9%B6%8F%E8%9B%8B%E8%82%89%E6%BC%A2%E5%A0%A1/data=!4m2!3m1!1s0x60188de89b9cb3fd:0x404128148b196c95,
食彩雲南 西川口店,2025/2/3 yunnan fish hotpot,https://www.google.com/maps/place/%E9%A3%9F%E5%BD%A9%E9%9B%B2%E5%8D%97+%E8%A5%BF%E5%B7%9D%E5%8F%A3%E5%BA%97/data=!4m2!3m1!1s0x6018952cd69fe51d:0x1f82a9e533defbfc,
麺食記,2025/1/30 went with yx chicken Noodle soup and fried rice set v good,https://www.google.com/maps/place/%E9%BA%BA%E9%A3%9F%E8%A8%98/data=!4m2!3m1!1s0x601895006540d2a5:0xea5625da00cd83c4,
小食屋(中華料理 福清小吃),Xhs beef noodles wonton soup,https://www.google.com/maps/place/%E5%B0%8F%E9%A3%9F%E5%B1%8B(%E4%B8%AD%E8%8F%AF%E6%96%99%E7%90%86+%E7%A6%8F%E6%B8%85%E5%B0%8F%E5%90%83)/data=!4m2!3m1!1s0x6018958648630c5f:0x819e470bf4e9e3cc,
逸品飲茶 縁茗 池袋店,Beijing duck,https://www.google.com/maps/place/%E9%80%B8%E5%93%81%E9%A3%B2%E8%8C%B6+%E7%B8%81%E8%8C%97+%E6%B1%A0%E8%A2%8B%E5%BA%97/data=!4m2!3m1!1s0x60188d5de798e325:0xb2e8336912c3311f,
拾味,"Hunan place went to after fuji trip 2024 dec isi group
Steamed egg was mid
Chinese sausage fried rice was good and the sour fish thing yx fav",https://www.google.com/maps/place/%E6%8B%BE%E5%91%B3/data=!4m2!3m1!1s0x60188d0001ccff4d:0x756d1f40ed5c8d30,
成都飯店,"Sichuan place with the sui mi ya cai poro belly which i thought was 甜烧白, tbh was kinda mid outside of the duck",https://www.google.com/maps/place/%E6%88%90%E9%83%BD%E9%A3%AF%E5%BA%97/data=!4m2!3m1!1s0x60188df55c238d27:0x62b5402e1e9f6266,
鼎泰豐 日本橋店,Nice fairly cheap went with natsuki i think?,https://www.google.com/maps/place/%E9%BC%8E%E6%B3%B0%E8%B1%90+%E6%97%A5%E6%9C%AC%E6%A9%8B%E5%BA%97/data=!4m2!3m1!1s0x60188957eeda32ad:0x196801c101948005,
