Title,Note,URL,Comment
リサイクルショップティファナ 阿佐ヶ谷パールセンター店,,https://www.google.com/maps/place/%E3%83%AA%E3%82%B5%E3%82%A4%E3%82%AF%E3%83%AB%E3%82%B7%E3%83%A7%E3%83%83%E3%83%97%E3%83%86%E3%82%A3%E3%83%95%E3%82%A1%E3%83%8A+%E9%98%BF%E4%BD%90%E3%83%B6%E8%B0%B7%E3%83%91%E3%83%BC%E3%83%AB%E3%82%BB%E3%83%B3%E3%82%BF%E3%83%BC%E5%BA%97/data=!4m2!3m1!1s0x6018f276cd0e61bb:0xfe84713638915c55,
リサイクルショップ ティファナ川口店,Second hand store,https://www.google.com/maps/place/%E3%83%AA%E3%82%B5%E3%82%A4%E3%82%AF%E3%83%AB%E3%82%B7%E3%83%A7%E3%83%83%E3%83%97+%E3%83%86%E3%82%A3%E3%83%95%E3%82%A1%E3%83%8A%E5%B7%9D%E5%8F%A3%E5%BA%97/data=!4m2!3m1!1s0x6018936f8f287037:0x9e382142fefc2ae0,
22 VINTAGE & USED CLOTHING,,https://www.google.com/maps/place/22+VINTAGE+%26+USED+CLOTHING/data=!4m2!3m1!1s0x6018f3b44d64bd33:0x842e60cdab44da31,
三井アウトレットパーク 幕張,,https://www.google.com/maps/place/%E4%B8%89%E4%BA%95%E3%82%A2%E3%82%A6%E3%83%88%E3%83%AC%E3%83%83%E3%83%88%E3%83%91%E3%83%BC%E3%82%AF+%E5%B9%95%E5%BC%B5/data=!4m2!3m1!1s0x6022821f8b6fffff:0x8e4926ae77dfce2e,
ibee store,,https://www.google.com/maps/place/ibee+store/data=!4m2!3m1!1s0x6018f263b154ddbd:0x1ee0261e99c615b0,
無人古着屋UNDER 900（アンダー900）,,https://www.google.com/maps/place/%E7%84%A1%E4%BA%BA%E5%8F%A4%E7%9D%80%E5%B1%8BUNDER+900%EF%BC%88%E3%82%A2%E3%83%B3%E3%83%80%E3%83%BC900%EF%BC%89/data=!4m2!3m1!1s0x6018f3878afdc463:0xd32a7007fd758faf,
Galapagos,,https://www.google.com/maps/place/Galapagos/data=!4m2!3m1!1s0x6018f25b2988ae8b:0x8ccaa2fd843de6c,
トレファクスタイル 杉並方南町店,,https://www.google.com/maps/place/%E3%83%88%E3%83%AC%E3%83%95%E3%82%A1%E3%82%AF%E3%82%B9%E3%82%BF%E3%82%A4%E3%83%AB+%E6%9D%89%E4%B8%A6%E6%96%B9%E5%8D%97%E7%94%BA%E5%BA%97/data=!4m2!3m1!1s0x6018f33201ea3213:0xb53e9c7158c212d9,
セカンドストリート高円寺店,,https://www.google.com/maps/place/%E3%82%BB%E3%82%AB%E3%83%B3%E3%83%89%E3%82%B9%E3%83%88%E3%83%AA%E3%83%BC%E3%83%88%E9%AB%98%E5%86%86%E5%AF%BA%E5%BA%97/data=!4m2!3m1!1s0x6018f262b5b8c1bd:0x53d88f6c4766e924,
モードオフ 高円寺純情商店街店,,https://www.google.com/maps/place/%E3%83%A2%E3%83%BC%E3%83%89%E3%82%AA%E3%83%95+%E9%AB%98%E5%86%86%E5%AF%BA%E7%B4%94%E6%83%85%E5%95%86%E5%BA%97%E8%A1%97%E5%BA%97/data=!4m2!3m1!1s0x6018f27d8ee9ffa3:0x856b7bf2cb6b826f,
たんぽぽハウス 高円寺店,,https://www.google.com/maps/place/%E3%81%9F%E3%82%93%E3%81%BD%E3%81%BD%E3%83%8F%E3%82%A6%E3%82%B9+%E9%AB%98%E5%86%86%E5%AF%BA%E5%BA%97/data=!4m2!3m1!1s0x6018f3672a185f6b:0xa929b38c74844132,
