Title,Note,URL,Comment
かつ栄,,https://www.google.com/maps/place/%E3%81%8B%E3%81%A4%E6%A0%84/data=!4m2!3m1!1s0x601894b01e86259f:0x417ef1c7a5676c8f,
カレーハウス CoCo壱番屋 ＪＲ西川口駅西口店,,https://www.google.com/maps/place/%E3%82%AB%E3%83%AC%E3%83%BC%E3%83%8F%E3%82%A6%E3%82%B9+CoCo%E5%A3%B1%E7%95%AA%E5%B1%8B+%EF%BC%AA%EF%BC%B2%E8%A5%BF%E5%B7%9D%E5%8F%A3%E9%A7%85%E8%A5%BF%E5%8F%A3%E5%BA%97/data=!4m2!3m1!1s0x601894a5465f91c7:0x94c5de67627ae2f6,
上等カレー 渋谷本店,Went here with laurah daniel,https://www.google.com/maps/place/%E4%B8%8A%E7%AD%89%E3%82%AB%E3%83%AC%E3%83%BC+%E6%B8%8B%E8%B0%B7%E6%9C%AC%E5%BA%97/data=!4m2!3m1!1s0x60188b599da6b5c3:0x89922071e4316be1,
Curry Spice Gelateria KALPASI（カルパシ）下北沢店,Went with gadi had the mala icecream,https://www.google.com/maps/place/Curry+Spice+Gelateria+KALPASI%EF%BC%88%E3%82%AB%E3%83%AB%E3%83%91%E3%82%B7%EF%BC%89%E4%B8%8B%E5%8C%97%E6%B2%A2%E5%BA%97/data=!4m2!3m1!1s0x6018f31a510817b3:0xf82a702865cdef05,
上等カレー 新大久保店,Kevin loves this place,https://www.google.com/maps/place/%E4%B8%8A%E7%AD%89%E3%82%AB%E3%83%AC%E3%83%BC+%E6%96%B0%E5%A4%A7%E4%B9%85%E4%BF%9D%E5%BA%97/data=!4m2!3m1!1s0x60188d2f4e643031:0xe77215aa3b41000f,
カレーハウス11イマサ,"Chicken was mid
Menchi ok
I think its the bad place i went woth kevin maybe",https://www.google.com/maps/place/%E3%82%AB%E3%83%AC%E3%83%BC%E3%83%8F%E3%82%A6%E3%82%B911%E3%82%A4%E3%83%9E%E3%82%B5/data=!4m2!3m1!1s0x60188cd71a90d227:0xce661c160e803dbf,
マイカリー食堂 明大前店,,https://www.google.com/maps/place/%E3%83%9E%E3%82%A4%E3%82%AB%E3%83%AA%E3%83%BC%E9%A3%9F%E5%A0%82+%E6%98%8E%E5%A4%A7%E5%89%8D%E5%BA%97/data=!4m2!3m1!1s0x6018f35814a270c1:0x802c2a9480337a74,
アジアンレストラン＆バー ナマステ・ジャパン,Went with yuxiao nepalese,https://www.google.com/maps/place/%E3%82%A2%E3%82%B8%E3%82%A2%E3%83%B3%E3%83%AC%E3%82%B9%E3%83%88%E3%83%A9%E3%83%B3%EF%BC%86%E3%83%90%E3%83%BC+%E3%83%8A%E3%83%9E%E3%82%B9%E3%83%86%E3%83%BB%E3%82%B8%E3%83%A3%E3%83%91%E3%83%B3/data=!4m2!3m1!1s0x6018f3e25721dabd:0x19f29f98af9ff44f,
インド•ネパール料理 ニューエクソティカ 西永福店（India Nepal new exotica）,,https://www.google.com/maps/place/%E3%82%A4%E3%83%B3%E3%83%89%E2%80%A2%E3%83%8D%E3%83%91%E3%83%BC%E3%83%AB%E6%96%99%E7%90%86+%E3%83%8B%E3%83%A5%E3%83%BC%E3%82%A8%E3%82%AF%E3%82%BD%E3%83%86%E3%82%A3%E3%82%AB+%E8%A5%BF%E6%B0%B8%E7%A6%8F%E5%BA%97%EF%BC%88India+Nepal+new+exotica%EF%BC%89/data=!4m2!3m1!1s0x6018f3ccecb64707:0xd5911c03fae17b88,
ゴトカリー,,https://www.google.com/maps/place/%E3%82%B4%E3%83%88%E3%82%AB%E3%83%AA%E3%83%BC/data=!4m2!3m1!1s0x6018f391ecc150eb:0x30ff4d6882a9d76a,
北海道スープカレーSuage 渋谷店,Soup curry,https://www.google.com/maps/place/%E5%8C%97%E6%B5%B7%E9%81%93%E3%82%B9%E3%83%BC%E3%83%97%E3%82%AB%E3%83%AC%E3%83%BCSuage+%E6%B8%8B%E8%B0%B7%E5%BA%97/data=!4m2!3m1!1s0x60188be98b25b4b1:0xe409379fe431105c,
