Title,Note,URL,Comment
荻野屋 弦 有楽町,Tiny oyakodon went before movie yx 2025/2/22,https://www.google.com/maps/place/%E8%8D%BB%E9%87%8E%E5%B1%8B+%E5%BC%A6+%E6%9C%89%E6%A5%BD%E7%94%BA/data=!4m2!3m1!1s0x60188b0f94ba3f09:0xb23e6896dd95eb92,
ローストビーフ大野 南池袋店,,https://www.google.com/maps/place/%E3%83%AD%E3%83%BC%E3%82%B9%E3%83%88%E3%83%93%E3%83%BC%E3%83%95%E5%A4%A7%E9%87%8E+%E5%8D%97%E6%B1%A0%E8%A2%8B%E5%BA%97/data=!4m2!3m1!1s0x60188d6898e45555:0x7130d5c82dca26cf,
あいおい食堂,Homely cooking went with claudia,https://www.google.com/maps/place/%E3%81%82%E3%81%84%E3%81%8A%E3%81%84%E9%A3%9F%E5%A0%82/data=!4m2!3m1!1s0x60185cf09c2b3b45:0xeaf931f17a0233aa,
定食屋 しんぱち食堂 渋谷店,Fish place cheap went with sherry,https://www.google.com/maps/place/%E5%AE%9A%E9%A3%9F%E5%B1%8B+%E3%81%97%E3%82%93%E3%81%B1%E3%81%A1%E9%A3%9F%E5%A0%82+%E6%B8%8B%E8%B0%B7%E5%BA%97/data=!4m2!3m1!1s0x60188d824fd354b1:0x66e71ad8ac6dbc,
肉めし岡もと 御徒町店,,https://www.google.com/maps/place/%E8%82%89%E3%82%81%E3%81%97%E5%B2%A1%E3%82%82%E3%81%A8+%E5%BE%A1%E5%BE%92%E7%94%BA%E5%BA%97/data=!4m2!3m1!1s0x60188fe1b8dce0ef:0x2e3399b5bc2d653a,
伝説のすた丼屋 秋葉原店,,https://www.google.com/maps/place/%E4%BC%9D%E8%AA%AC%E3%81%AE%E3%81%99%E3%81%9F%E4%B8%BC%E5%B1%8B+%E7%A7%8B%E8%91%89%E5%8E%9F%E5%BA%97/data=!4m2!3m1!1s0x60188c1dcdf2ee8d:0x94c52af751f49dc8,
喜三郎農場,Ayce TKG Went with cherry,https://www.google.com/maps/place/%E5%96%9C%E4%B8%89%E9%83%8E%E8%BE%B2%E5%A0%B4/data=!4m2!3m1!1s0x60188dbbb1764105:0xc736e57c482392e1,
ローストビーフ大野 原宿店,,https://www.google.com/maps/place/%E3%83%AD%E3%83%BC%E3%82%B9%E3%83%88%E3%83%93%E3%83%BC%E3%83%95%E5%A4%A7%E9%87%8E+%E5%8E%9F%E5%AE%BF%E5%BA%97/data=!4m2!3m1!1s0x60188ca481100001:0xd712084ac5c95cdf,
すき家 西永福店,,https://www.google.com/maps/place/%E3%81%99%E3%81%8D%E5%AE%B6+%E8%A5%BF%E6%B0%B8%E7%A6%8F%E5%BA%97/data=!4m2!3m1!1s0x6018f24f4306c73b:0xe096df00688e9b94,
情熱のすためしどんどん 新宿東口アルタ裏店,Rice bowl nice sutadon,https://www.google.com/maps/place/%E6%83%85%E7%86%B1%E3%81%AE%E3%81%99%E3%81%9F%E3%82%81%E3%81%97%E3%81%A9%E3%82%93%E3%81%A9%E3%82%93+%E6%96%B0%E5%AE%BF%E6%9D%B1%E5%8F%A3%E3%82%A2%E3%83%AB%E3%82%BF%E8%A3%8F%E5%BA%97/data=!4m2!3m1!1s0x60188cd9f05426eb:0x4d285f8309f85ab0,
新潟カツ丼タレカツ 渋谷店,"Rly good katsu, had the tokuseidon",https://www.google.com/maps/place/%E6%96%B0%E6%BD%9F%E3%82%AB%E3%83%84%E4%B8%BC%E3%82%BF%E3%83%AC%E3%82%AB%E3%83%84+%E6%B8%8B%E8%B0%B7%E5%BA%97/data=!4m2!3m1!1s0x60188b57c8684045:0x7869a0bfbc459282,
