Title,Note,URL,Comment
異味香（イーウェイシャン）,,https://www.google.com/maps/place/%E7%95%B0%E5%91%B3%E9%A6%99%EF%BC%88%E3%82%A4%E3%83%BC%E3%82%A6%E3%82%A7%E3%82%A4%E3%82%B7%E3%83%A3%E3%83%B3%EF%BC%89/data=!4m2!3m1!1s0x601894a5a7f23d3d:0xca1781463688b0da,
株式会社ロジックベイン,,https://www.google.com/maps/place/%E6%A0%AA%E5%BC%8F%E4%BC%9A%E7%A4%BE%E3%83%AD%E3%82%B8%E3%83%83%E3%82%AF%E3%83%99%E3%82%A4%E3%83%B3/data=!4m2!3m1!1s0x6018f6fcc898bda1:0x5c75c3b39f443f2f,
お好み焼き いまり 渋谷,Okonomiyaki,https://www.google.com/maps/place/%E3%81%8A%E5%A5%BD%E3%81%BF%E7%84%BC%E3%81%8D+%E3%81%84%E3%81%BE%E3%82%8A+%E6%B8%8B%E8%B0%B7/data=!4m2!3m1!1s0x60188b9b4ddc3231:0x86fccd8bc4ffe3ef,
お好み焼き だいこんまん,Okonomiyaki,https://www.google.com/maps/place/%E3%81%8A%E5%A5%BD%E3%81%BF%E7%84%BC%E3%81%8D+%E3%81%A0%E3%81%84%E3%81%93%E3%82%93%E3%81%BE%E3%82%93/data=!4m2!3m1!1s0x6018f369653857a9:0x4338ff0194649d8b,
不忍池辯天堂,,https://www.google.com/maps/place/%E4%B8%8D%E5%BF%8D%E6%B1%A0%E8%BE%AF%E5%A4%A9%E5%A0%82/data=!4m2!3m1!1s0x60188c2716c5da77:0xefabb9f86a7f35d3,
ごちそう焼むすび おにまる 渋谷店,,https://www.google.com/maps/place/%E3%81%94%E3%81%A1%E3%81%9D%E3%81%86%E7%84%BC%E3%82%80%E3%81%99%E3%81%B3+%E3%81%8A%E3%81%AB%E3%81%BE%E3%82%8B+%E6%B8%8B%E8%B0%B7%E5%BA%97/data=!4m2!3m1!1s0x60188d007de47b2b:0x7ec426995dbf42fd,
東京駅丸の内駅前広場,,https://www.google.com/maps/place/%E6%9D%B1%E4%BA%AC%E9%A7%85%E4%B8%B8%E3%81%AE%E5%86%85%E9%A7%85%E5%89%8D%E5%BA%83%E5%A0%B4/data=!4m2!3m1!1s0x60188bf979712903:0x710fa891148d8b9a,
古着屋 NOTIME 吉祥寺店,,https://www.google.com/maps/place/%E5%8F%A4%E7%9D%80%E5%B1%8B+NOTIME+%E5%90%89%E7%A5%A5%E5%AF%BA%E5%BA%97/data=!4m2!3m1!1s0x6018ef7da511c691:0xc4b74240a63baa4a,
指定した地点,Muji vending machine,"https://www.google.com/maps/search/35.6915084,139.7037554",
山野楽器 銀座本店,Guitar garden,https://www.google.com/maps/place/%E5%B1%B1%E9%87%8E%E6%A5%BD%E5%99%A8+%E9%8A%80%E5%BA%A7%E6%9C%AC%E5%BA%97/data=!4m2!3m1!1s0x60188be68008bf65:0x57941dd7284e73ae,
なんば広場,oioi ,https://www.google.com/maps/place/%E3%81%AA%E3%82%93%E3%81%B0%E5%BA%83%E5%A0%B4/data=!4m2!3m1!1s0x6000e782f37e013b:0x7b126f098a117ef8,
酒場やりや,Went here with natsuki (public tokyo),https://www.google.com/maps/place/%E9%85%92%E5%A0%B4%E3%82%84%E3%82%8A%E3%82%84/data=!4m2!3m1!1s0x6000e7296584b0d1:0xf7d4953ca5fa3dd3,
PUBLIC TOKYO 心斎橋,Natsuki takamiya works here tencho,https://www.google.com/maps/place/PUBLIC+TOKYO+%E5%BF%83%E6%96%8E%E6%A9%8B/data=!4m2!3m1!1s0x6000e790a37e1853:0xe8695f6cae0cdf51,
EVERYDAY HOUSE,Osaka 2024 Vic fam airbnb,https://www.google.com/maps/place/EVERYDAY+HOUSE/data=!4m2!3m1!1s0x6000e7230aa3a4f3:0x18b97d2e6c631a62,
鳥貴族 阪急西院駅前店,Last Kyoto night 2024 with vic,https://www.google.com/maps/place/%E9%B3%A5%E8%B2%B4%E6%97%8F+%E9%98%AA%E6%80%A5%E8%A5%BF%E9%99%A2%E9%A7%85%E5%89%8D%E5%BA%97/data=!4m2!3m1!1s0x600107b52de8292f:0x5349398d00638847,
京都蒟蒻しゃぼん 錦店,Konjac soap cute colours and stuff,https://www.google.com/maps/place/%E4%BA%AC%E9%83%BD%E8%92%9F%E8%92%BB%E3%81%97%E3%82%83%E3%81%BC%E3%82%93+%E9%8C%A6%E5%BA%97/data=!4m2!3m1!1s0x600108912b48ce0d:0xb80a4f68cc91875e,
むら瀬,Katsu place minchi katsu and hire katsu,https://www.google.com/maps/place/%E3%82%80%E3%82%89%E7%80%AC/data=!4m2!3m1!1s0x60010636adb27531:0xcb634c9a2adcd8cc,
薫樹 xiang po po inn,,https://www.google.com/maps/place/%E8%96%AB%E6%A8%B9+xiang+po+po+inn/data=!4m2!3m1!1s0x600107128df33819:0xb5036786f21c2417,
嵐山 りらっくま茶房,,https://www.google.com/maps/place/%E5%B5%90%E5%B1%B1+%E3%82%8A%E3%82%89%E3%81%A3%E3%81%8F%E3%81%BE%E8%8C%B6%E6%88%BF/data=!4m2!3m1!1s0x6001a9ff76c6dddd:0xaa7c954ca543aca8,
ごはんや一芯 代官山,First date with yuxiao ,https://www.google.com/maps/place/%E3%81%94%E3%81%AF%E3%82%93%E3%82%84%E4%B8%80%E8%8A%AF+%E4%BB%A3%E5%AE%98%E5%B1%B1/data=!4m2!3m1!1s0x60188b45f168e763:0x2955154442b50b8a,
麺屋達 金沢駅前店,Had kanazawa ae soba was quite good,https://www.google.com/maps/place/%E9%BA%BA%E5%B1%8B%E9%81%94+%E9%87%91%E6%B2%A2%E9%A7%85%E5%89%8D%E5%BA%97/data=!4m2!3m1!1s0x5ff833cf83b0ed31:0xc89c4b756652d6b7,
金沢城公園,,https://www.google.com/maps/place/%E9%87%91%E6%B2%A2%E5%9F%8E%E5%85%AC%E5%9C%92/data=!4m2!3m1!1s0x5ff833823df14795:0xa827189e97e61e4a,
潮屋 近江町いちば店,Seafood nodoguri bowl,https://www.google.com/maps/place/%E6%BD%AE%E5%B1%8B+%E8%BF%91%E6%B1%9F%E7%94%BA%E3%81%84%E3%81%A1%E3%81%B0%E5%BA%97/data=!4m2!3m1!1s0x5ff8337035d226cb:0x5dce8e78103e2743,
近江町市場,Seafood market ,https://www.google.com/maps/place/%E8%BF%91%E6%B1%9F%E7%94%BA%E5%B8%82%E5%A0%B4/data=!4m2!3m1!1s0x5ff83370f7d313d3:0xbff4287c6ca534a5,
居酒や 風風 尾山町店,,https://www.google.com/maps/place/%E5%B1%85%E9%85%92%E3%82%84+%E9%A2%A8%E9%A2%A8+%E5%B0%BE%E5%B1%B1%E7%94%BA%E5%BA%97/data=!4m2!3m1!1s0x5ff8337a6b9236bf:0x8faed5e505f3578b,
喫茶うらら,,https://www.google.com/maps/place/%E5%96%AB%E8%8C%B6%E3%81%86%E3%82%89%E3%82%89/data=!4m2!3m1!1s0x5ff8337069769a33:0xb43cf6b77ee5083b,
雲場池,Nice foliage pond,https://www.google.com/maps/place/%E9%9B%B2%E5%A0%B4%E6%B1%A0/data=!4m2!3m1!1s0x601dd39b0da1b2ed:0x8af93ffd7d16f241,
カフェサンメール雲場,"Cafe with parking, bit expensive, had matcha latte, nice fancy vibes",https://www.google.com/maps/place/%E3%82%AB%E3%83%95%E3%82%A7%E3%82%B5%E3%83%B3%E3%83%A1%E3%83%BC%E3%83%AB%E9%9B%B2%E5%A0%B4/data=!4m2!3m1!1s0x601dd30036cce0b3:0xadb2433a97acbd6b,
