Title,Note,URL,Comment
や台ずし 西永福駅前町,,https://www.google.com/maps/place/%E3%82%84%E5%8F%B0%E3%81%9A%E3%81%97+%E8%A5%BF%E6%B0%B8%E7%A6%8F%E9%A7%85%E5%89%8D%E7%94%BA/data=!4m2!3m1!1s0x6018f24f490effff:0x3ba615f9fb0de485,
ファーマーズチキン 西新宿,,https://www.google.com/maps/place/%E3%83%95%E3%82%A1%E3%83%BC%E3%83%9E%E3%83%BC%E3%82%BA%E3%83%81%E3%82%AD%E3%83%B3+%E8%A5%BF%E6%96%B0%E5%AE%BF/data=!4m2!3m1!1s0x60188d708fe5687b:0xfcc5994a5d93f30e,
呑み食い処 龍神,,https://www.google.com/maps/place/%E5%91%91%E3%81%BF%E9%A3%9F%E3%81%84%E5%87%A6+%E9%BE%8D%E7%A5%9E/data=!4m2!3m1!1s0x6018952261c06429:0xb8e05d1336c2298b,
てけてけ 西新宿店,,https://www.google.com/maps/place/%E3%81%A6%E3%81%91%E3%81%A6%E3%81%91+%E8%A5%BF%E6%96%B0%E5%AE%BF%E5%BA%97/data=!4m2!3m1!1s0x60188d2a705c90af:0x9356464a6a751cae,
新時代 秋葉原本店,Went with luke? Chicken skin skewers 50yen,https://www.google.com/maps/place/%E6%96%B0%E6%99%82%E4%BB%A3+%E7%A7%8B%E8%91%89%E5%8E%9F%E6%9C%AC%E5%BA%97/data=!4m2!3m1!1s0x60188fea3c3c7805:0xc66551107fe78b69,
新時代 新宿西口大ガード店,,https://www.google.com/maps/place/%E6%96%B0%E6%99%82%E4%BB%A3+%E6%96%B0%E5%AE%BF%E8%A5%BF%E5%8F%A3%E5%A4%A7%E3%82%AC%E3%83%BC%E3%83%89%E5%BA%97/data=!4m2!3m1!1s0x60188d000b89db13:0x2dd41f18dd7dd4ab,
鳥貴族 高田馬場さかえ通り店,Yx business 3person place,https://www.google.com/maps/place/%E9%B3%A5%E8%B2%B4%E6%97%8F+%E9%AB%98%E7%94%B0%E9%A6%AC%E5%A0%B4%E3%81%95%E3%81%8B%E3%81%88%E9%80%9A%E3%82%8A%E5%BA%97/data=!4m2!3m1!1s0x60188d385db38941:0x3ea8f3ff9b82f826,
御食事酒処 松味,"Big portions, homely vibe",https://www.google.com/maps/place/%E5%BE%A1%E9%A3%9F%E4%BA%8B%E9%85%92%E5%87%A6+%E6%9D%BE%E5%91%B3/data=!4m2!3m1!1s0x6018f250aae32df9:0x64232a93108c11a1,
磯丸水産 赤羽南口店,Went with yuxiao crab thing,https://www.google.com/maps/place/%E7%A3%AF%E4%B8%B8%E6%B0%B4%E7%94%A3+%E8%B5%A4%E7%BE%BD%E5%8D%97%E5%8F%A3%E5%BA%97/data=!4m2!3m1!1s0x601892fd36a342c9:0x542b3f88848f0609,
鳥道酒場,2025 Jan 20 went with Jelyn fire extinguisher sour,https://www.google.com/maps/place/%E9%B3%A5%E9%81%93%E9%85%92%E5%A0%B4/data=!4m2!3m1!1s0x601893c48c81262b:0x47bd043a31bb4e2,
格安ビールと鉄鍋餃子 ３・６・５酒場 渋谷本店,"Went with Daniel 2025 1 jan
Motsu Yaki based",https://www.google.com/maps/place/%E6%A0%BC%E5%AE%89%E3%83%93%E3%83%BC%E3%83%AB%E3%81%A8%E9%89%84%E9%8D%8B%E9%A4%83%E5%AD%90+%EF%BC%93%E3%83%BB%EF%BC%96%E3%83%BB%EF%BC%95%E9%85%92%E5%A0%B4+%E6%B8%8B%E8%B0%B7%E6%9C%AC%E5%BA%97/data=!4m2!3m1!1s0x60188ca876c51e59:0xe5c046e45cd8d20,
やきとりセンター 渋谷センター街店,Mightve gone with kevin?,https://www.google.com/maps/place/%E3%82%84%E3%81%8D%E3%81%A8%E3%82%8A%E3%82%BB%E3%83%B3%E3%82%BF%E3%83%BC+%E6%B8%8B%E8%B0%B7%E3%82%BB%E3%83%B3%E3%82%BF%E3%83%BC%E8%A1%97%E5%BA%97/data=!4m2!3m1!1s0x60188ca96179bca9:0x51a2e07262c3e4b,
下北沢っ子居酒屋 とりとんくん,Went with sharehouse ppl?,https://www.google.com/maps/place/%E4%B8%8B%E5%8C%97%E6%B2%A2%E3%81%A3%E5%AD%90%E5%B1%85%E9%85%92%E5%B1%8B+%E3%81%A8%E3%82%8A%E3%81%A8%E3%82%93%E3%81%8F%E3%82%93/data=!4m2!3m1!1s0x6018f36966546805:0x2fb7f3b53280a70a,
新時代吉祥寺南口店,"First nomikai
Cheap drinks and dengushi",https://www.google.com/maps/place/%E6%96%B0%E6%99%82%E4%BB%A3%E5%90%89%E7%A5%A5%E5%AF%BA%E5%8D%97%E5%8F%A3%E5%BA%97/data=!4m2!3m1!1s0x6018ef96330bcaab:0x88dc04429e80d5ff,
元気酒場いらっしゃいマーシー,"Nice little izakaya, dece prices, had the long beansprout (was ok lmao), went with yx and sophia",https://www.google.com/maps/place/%E5%85%83%E6%B0%97%E9%85%92%E5%A0%B4%E3%81%84%E3%82%89%E3%81%A3%E3%81%97%E3%82%83%E3%81%84%E3%83%9E%E3%83%BC%E3%82%B7%E3%83%BC/data=!4m2!3m1!1s0x601893963bbe37b5:0xab5db733cf1281d8,
鳥貴族 新大久保店,,https://www.google.com/maps/place/%E9%B3%A5%E8%B2%B4%E6%97%8F+%E6%96%B0%E5%A4%A7%E4%B9%85%E4%BF%9D%E5%BA%97/data=!4m2!3m1!1s0x60188d25fdeb5ca1:0xf520125418b1236e,
新宿龍乃都飲食街,Cool izakaya area i went with okazu? Okayu? Forgot his name but big guy karaoke thingo,https://www.google.com/maps/place/%E6%96%B0%E5%AE%BF%E9%BE%8D%E4%B9%83%E9%83%BD%E9%A3%B2%E9%A3%9F%E8%A1%97/data=!4m2!3m1!1s0x60188dfe4e9376a3:0x9ec1998db81668e7,
てんぐ大ホール 新宿西口大ガード店,,https://www.google.com/maps/place/%E3%81%A6%E3%82%93%E3%81%90%E5%A4%A7%E3%83%9B%E3%83%BC%E3%83%AB+%E6%96%B0%E5%AE%BF%E8%A5%BF%E5%8F%A3%E5%A4%A7%E3%82%AC%E3%83%BC%E3%83%89%E5%BA%97/data=!4m2!3m1!1s0x60188cd64b774d0b:0x49cf943700ad85ea,
丸八 高田馬場本店,Cool dice game izakaya went with will,https://www.google.com/maps/place/%E4%B8%B8%E5%85%AB+%E9%AB%98%E7%94%B0%E9%A6%AC%E5%A0%B4%E6%9C%AC%E5%BA%97/data=!4m2!3m1!1s0x60188d393d1ee0d1:0x22312bc057bba65d,
新時代 新宿西口店,,https://www.google.com/maps/place/%E6%96%B0%E6%99%82%E4%BB%A3+%E6%96%B0%E5%AE%BF%E8%A5%BF%E5%8F%A3%E5%BA%97/data=!4m2!3m1!1s0x60188d938b919caf:0x19ebf8c296b4b597,
肉汁餃子のダンダダン 永福町店,"Sayano rec, 1k lunch teishoku",https://www.google.com/maps/place/%E8%82%89%E6%B1%81%E9%A4%83%E5%AD%90%E3%81%AE%E3%83%80%E3%83%B3%E3%83%80%E3%83%80%E3%83%B3+%E6%B0%B8%E7%A6%8F%E7%94%BA%E5%BA%97/data=!4m2!3m1!1s0x6018f253a29180cf:0x7e8f03d4e523a1f9,
串カツココカラ西永福,,https://www.google.com/maps/place/%E4%B8%B2%E3%82%AB%E3%83%84%E3%82%B3%E3%82%B3%E3%82%AB%E3%83%A9%E8%A5%BF%E6%B0%B8%E7%A6%8F/data=!4m2!3m1!1s0x6018f24f7de12aad:0x85de58189a15ae25,
渋谷肉横丁,Went here with takahiro,https://www.google.com/maps/place/%E6%B8%8B%E8%B0%B7%E8%82%89%E6%A8%AA%E4%B8%81/data=!4m2!3m1!1s0x60188d7aa8a36925:0x3e3b3f13154e84a9,
汁べゑ 渋谷店,,https://www.google.com/maps/place/%E6%B1%81%E3%81%B9%E3%82%91+%E6%B8%8B%E8%B0%B7%E5%BA%97/data=!4m2!3m1!1s0x60188b5677f84601:0xbe608c71e6cde5ee,
権八 NORI-TEMAKI 原宿／Gonpachi Nori-temaki Harajuku,Went with yuki Leo and friends ,https://www.google.com/maps/place/%E6%A8%A9%E5%85%AB+NORI-TEMAKI+%E5%8E%9F%E5%AE%BF%EF%BC%8FGonpachi+Nori-temaki+Harajuku/data=!4m2!3m1!1s0x60188db8860c8427:0xcfa1075362f83346,
鳥貴族 渋谷神南店,,https://www.google.com/maps/place/%E9%B3%A5%E8%B2%B4%E6%97%8F+%E6%B8%8B%E8%B0%B7%E7%A5%9E%E5%8D%97%E5%BA%97/data=!4m2!3m1!1s0x60188ca8ed2c776b:0xeca272250e8cf800,
鳥貴族 渋谷西口店,,https://www.google.com/maps/place/%E9%B3%A5%E8%B2%B4%E6%97%8F+%E6%B8%8B%E8%B0%B7%E8%A5%BF%E5%8F%A3%E5%BA%97/data=!4m2!3m1!1s0x60188b57ba8cc315:0x688b308b2af133fa,
