Title,Note,URL,Comment
Shibuya Crossing,,https://www.google.com/maps/place/Shibuya+Crossing/data=!4m2!3m1!1s0x60188bbb36122819:0xb2d4eaa1743c4670,
Fushimi Inari Taisha,,https://www.google.com/maps/place/Fushimi+Inari+Taisha/data=!4m2!3m1!1s0x60010f153d2e6d21:0x7b1aca1c753ae2e9,
Tsukiji Market,,https://www.google.com/maps/place/Tsukiji+Market/data=!4m2!3m1!1s0x60188b21cd0b675b:0xa26e24a1bf97025c,
Harajuku,,https://www.google.com/maps/place/Harajuku/data=!4m2!3m1!1s0x60188ca2e4535de5:0x4819c8b806e23295,
Lake Kawaguchi,,https://www.google.com/maps/place/Lake+Kawaguchi/data=!4m2!3m1!1s0x60195fb4a5043f4f:0x29cbb24b1e337d47,
Kaminarimon,,https://www.google.com/maps/place/Kaminarimon/data=!4m2!3m1!1s0x60188ec7105f826d:0xcff40dd81843a77f,
Nandaimon Gate of Tōdaiji,,https://www.google.com/maps/place/Nandaimon+Gate+of+T%C5%8Ddaiji/data=!4m2!3m1!1s0x60013990f91570e9:0x802a25db25e31110,
Arakurayama Sengen Park,,https://www.google.com/maps/place/Arakurayama+Sengen+Park/data=!4m2!3m1!1s0x6019674d1d58a8bb:0x8fee767dd147a07d,
Yasaka Shrine,,https://www.google.com/maps/place/Yasaka+Shrine/data=!4m2!3m1!1s0x60010879a010eca9:0xc77ac89d5a241ae9,
1-chōme-2 Nishishinjuku,,https://www.google.com/maps/place/1-ch%C5%8Dme-2+Nishishinjuku/data=!4m2!3m1!1s0x60188cd710ee06a3:0x25d61d2004f7ce0c,
Tokyo Tower,,https://www.google.com/maps/place/Tokyo+Tower/data=!4m2!3m1!1s0x60188bbd9009ec09:0x481a93f0d2a409dd,
Universal Studios Japan,,https://www.google.com/maps/place/Universal+Studios+Japan/data=!4m2!3m1!1s0x6000e0d083d5e25d:0x3605fe25303252aa,
Todaiji Temple Shosoin Temple treasure house,,https://www.google.com/maps/place/Todaiji+Temple+Shosoin+Temple+treasure+house/data=!4m2!3m1!1s0x6001399cac06b217:0xf558a4ccb8dc0225,
Nishiki Market,,https://www.google.com/maps/place/Nishiki+Market/data=!4m2!3m1!1s0x6001089ccd8ccb4f:0xb69ea31001ec6c9c,
Kawaguchiko Station,,https://www.google.com/maps/place/Kawaguchiko+Station/data=!4m2!3m1!1s0x60196082ba487757:0x4d9403afbe34b4ed,
Higashiyama Jisho-ji,,https://www.google.com/maps/place/Higashiyama+Jisho-ji/data=!4m2!3m1!1s0x600109050b426fe1:0x258aca1ce888abc9,
Kiyomizu-dera,,https://www.google.com/maps/place/Kiyomizu-dera/data=!4m2!3m1!1s0x600108d385dcfb07:0x62af658650c434ba,
Nara Park,,https://www.google.com/maps/place/Nara+Park/data=!4m2!3m1!1s0x60013996bd8c6061:0xf96cacf357447456,
Kinkaku-ji,,https://www.google.com/maps/place/Kinkaku-ji/data=!4m2!3m1!1s0x6001a820c0eb46bd:0xee4272b1c22645f,
Hanamikoji Street,,https://www.google.com/maps/place/Hanamikoji+Street/data=!4m2!3m1!1s0x600108c173e6958f:0x792091361351619b,
Nijō Castle,,https://www.google.com/maps/place/Nij%C5%8D+Castle/data=!4m2!3m1!1s0x600107d40a2b9b0b:0x106b8759906a2f2f,
Toyosu Market,,https://www.google.com/maps/place/Toyosu+Market/data=!4m2!3m1!1s0x601889f8cfbb8f5b:0xd6bfad0e525033dc,
Ichiran Ramen,,https://www.google.com/maps/place/Ichiran+Ramen/data=!4m2!3m1!1s0x60188ca468112079:0xa93b4c85f75d9135,
Tsurutontan Shinjuku,,https://www.google.com/maps/place/Tsurutontan+Shinjuku/data=!4m2!3m1!1s0x60188b79aa06e151:0x67a63a6b6825c05,
Nakamise Shopping Street (Orange street),,https://www.google.com/maps/place/Nakamise+Shopping+Street+(Orange+street)/data=!4m2!3m1!1s0x60188ec130fbdd3d:0x5135221a7fa19dbc,
Tokyo Disneyland,,https://www.google.com/maps/place/Tokyo+Disneyland/data=!4m2!3m1!1s0x60187d03114737b3:0xe4d93636d509d3cb,
Arashiyama Bamboo Forest,,https://www.google.com/maps/place/Arashiyama+Bamboo+Forest/data=!4m2!3m1!1s0x6001abebbf5c8bad:0xfb9ffc7bbdd67cdd,
Tokyo Skytree,,https://www.google.com/maps/place/Tokyo+Skytree/data=!4m2!3m1!1s0x60188ed0d12f9adf:0x7d1d4fb31f43f72a,
