Title,Note,URL,Comment
和食・天ぷら 里海里山,2025/2/27 went with serena,https://www.google.com/maps/place/%E5%92%8C%E9%A3%9F%E3%83%BB%E5%A4%A9%E3%81%B7%E3%82%89+%E9%87%8C%E6%B5%B7%E9%87%8C%E5%B1%B1/data=!4m2!3m1!1s0x60188cd87aefe267:0xd035e9cd95dd6a79,
かつどん屋 瑞兆（ずいちょう）,,https://www.google.com/maps/place/%E3%81%8B%E3%81%A4%E3%81%A9%E3%82%93%E5%B1%8B+%E7%91%9E%E5%85%86%EF%BC%88%E3%81%9A%E3%81%84%E3%81%A1%E3%82%87%E3%81%86%EF%BC%89/data=!4m2!3m1!1s0x60188cac12069909:0x41c48d07160668ef,
天丼てんや 川口店,,https://www.google.com/maps/place/%E5%A4%A9%E4%B8%BC%E3%81%A6%E3%82%93%E3%82%84+%E5%B7%9D%E5%8F%A3%E5%BA%97/data=!4m2!3m1!1s0x6018936f073031fd:0xb81a586606006a48,
金子屋 吉祥寺店,,https://www.google.com/maps/place/%E9%87%91%E5%AD%90%E5%B1%8B+%E5%90%89%E7%A5%A5%E5%AF%BA%E5%BA%97/data=!4m2!3m1!1s0x6018ee48986df8cd:0x1239f3e3aaf17d04,
天丼はま田 川口西青木,Tendon,https://www.google.com/maps/place/%E5%A4%A9%E4%B8%BC%E3%81%AF%E3%81%BE%E7%94%B0+%E5%B7%9D%E5%8F%A3%E8%A5%BF%E9%9D%92%E6%9C%A8/data=!4m2!3m1!1s0x60189511cceba3ff:0x887ff62435d7ce0d,
松のや 西川口店,,https://www.google.com/maps/place/%E6%9D%BE%E3%81%AE%E3%82%84+%E8%A5%BF%E5%B7%9D%E5%8F%A3%E5%BA%97/data=!4m2!3m1!1s0x601894a50e85f611:0x566c157ce8817364,
とんかつ家庭,"Tonkatsu homey place, went when i picked up my bass",https://www.google.com/maps/place/%E3%81%A8%E3%82%93%E3%81%8B%E3%81%A4%E5%AE%B6%E5%BA%AD/data=!4m2!3m1!1s0x6018891398ebb5e9:0x702f71caffa1eca,
とんかつ丸七 深川不動店,Mega tonkatsu place,https://www.google.com/maps/place/%E3%81%A8%E3%82%93%E3%81%8B%E3%81%A4%E4%B8%B8%E4%B8%83+%E6%B7%B1%E5%B7%9D%E4%B8%8D%E5%8B%95%E5%BA%97/data=!4m2!3m1!1s0x60188951e9f1e609:0xbd7d2ad84c2d352f,
キッチンツキウマ 吉祥寺店,Katsu place nice vibes quiet,https://www.google.com/maps/place/%E3%82%AD%E3%83%83%E3%83%81%E3%83%B3%E3%83%84%E3%82%AD%E3%82%A6%E3%83%9E+%E5%90%89%E7%A5%A5%E5%AF%BA%E5%BA%97/data=!4m2!3m1!1s0x6018efb3711d55e3:0x30caef73e7b0f0c6,
から好し 浜田山店,Karaage,https://www.google.com/maps/place/%E3%81%8B%E3%82%89%E5%A5%BD%E3%81%97+%E6%B5%9C%E7%94%B0%E5%B1%B1%E5%BA%97/data=!4m2!3m1!1s0x6018f346ff0e3eed:0xe5dfec49603c66d0,
松のや 行徳店,,https://www.google.com/maps/place/%E6%9D%BE%E3%81%AE%E3%82%84+%E8%A1%8C%E5%BE%B3%E5%BA%97/data=!4m2!3m1!1s0x6018876854405f3d:0x85f0a74645a73fca,
キッチンオリジン 西新宿店,Fried stuff,https://www.google.com/maps/place/%E3%82%AD%E3%83%83%E3%83%81%E3%83%B3%E3%82%AA%E3%83%AA%E3%82%B8%E3%83%B3+%E8%A5%BF%E6%96%B0%E5%AE%BF%E5%BA%97/data=!4m2!3m1!1s0x60188d290989bed1:0xb3f63b0cf6b434c5,
天ほう,,https://www.google.com/maps/place/%E5%A4%A9%E3%81%BB%E3%81%86/data=!4m2!3m1!1s0x6018f3b8980e019f:0xb9cc43bdafd34f1d,
