Title,Note,URL,Comment
かね田,2025/1/23 Tsukemen Wide noodles wagyu,https://www.google.com/maps/place/%E3%81%8B%E3%81%AD%E7%94%B0/data=!4m2!3m1!1s0x60188bb07ceb0f9b:0x98e4c946bb6b2c4,
食処 渓,Curry mazesoba 850yen,https://www.google.com/maps/place/%E9%A3%9F%E5%87%A6+%E6%B8%93/data=!4m2!3m1!1s0x60189366a81faf95:0xe2bf8cbcbb2d8d5c,
ラーメン 担々麺 辣椒漢(スパイシーマッチョマン) 渋谷ファイヤー通り店,Tantanmen near tower records went with sherry,https://www.google.com/maps/place/%E3%83%A9%E3%83%BC%E3%83%A1%E3%83%B3+%E6%8B%85%E3%80%85%E9%BA%BA+%E8%BE%A3%E6%A4%92%E6%BC%A2(%E3%82%B9%E3%83%91%E3%82%A4%E3%82%B7%E3%83%BC%E3%83%9E%E3%83%83%E3%83%81%E3%83%A7%E3%83%9E%E3%83%B3)+%E6%B8%8B%E8%B0%B7%E3%83%95%E3%82%A1%E3%82%A4%E3%83%A4%E3%83%BC%E9%80%9A%E3%82%8A%E5%BA%97/data=!4m2!3m1!1s0x60188d00f84e1f63:0xdce84bc9ad2fe475,
嵯峨谷渋谷店,Soba place went with gadi and.. will?,https://www.google.com/maps/place/%E5%B5%AF%E5%B3%A8%E8%B0%B7%E6%B8%8B%E8%B0%B7%E5%BA%97/data=!4m2!3m1!1s0x60188ca982fd903f:0xe54945317748644a,
油そば 東京油組総本店 下北沢組,Aburasoba,https://www.google.com/maps/place/%E6%B2%B9%E3%81%9D%E3%81%B0+%E6%9D%B1%E4%BA%AC%E6%B2%B9%E7%B5%84%E7%B7%8F%E6%9C%AC%E5%BA%97+%E4%B8%8B%E5%8C%97%E6%B2%A2%E7%B5%84/data=!4m2!3m1!1s0x6018f36a2940d735:0xa1d13182bf1ca626,
親父の製麺所 秋葉原駅店,MEAT MEAT MEAT udon,https://www.google.com/maps/place/%E8%A6%AA%E7%88%B6%E3%81%AE%E8%A3%BD%E9%BA%BA%E6%89%80+%E7%A7%8B%E8%91%89%E5%8E%9F%E9%A7%85%E5%BA%97/data=!4m2!3m1!1s0x60188ea7f767056f:0x4fcb1f0f428118a1,
油そば 春日亭 東池袋店,Fairly famous went with naoshi and vic,https://www.google.com/maps/place/%E6%B2%B9%E3%81%9D%E3%81%B0+%E6%98%A5%E6%97%A5%E4%BA%AD+%E6%9D%B1%E6%B1%A0%E8%A2%8B%E5%BA%97/data=!4m2!3m1!1s0x60188d68b1111fcf:0x857f3449de08e468,
甘蘭牛肉麺 東京新宿西口店,,https://www.google.com/maps/place/%E7%94%98%E8%98%AD%E7%89%9B%E8%82%89%E9%BA%BA+%E6%9D%B1%E4%BA%AC%E6%96%B0%E5%AE%BF%E8%A5%BF%E5%8F%A3%E5%BA%97/data=!4m2!3m1!1s0x60188d98dee5178d:0x463678adc8778770,
はなまるうどん新宿東口モア街店,,https://www.google.com/maps/place/%E3%81%AF%E3%81%AA%E3%81%BE%E3%82%8B%E3%81%86%E3%81%A9%E3%82%93%E6%96%B0%E5%AE%BF%E6%9D%B1%E5%8F%A3%E3%83%A2%E3%82%A2%E8%A1%97%E5%BA%97/data=!4m2!3m1!1s0x60188cd760b3dcd5:0x12444c167f044929,
とらそば,,https://www.google.com/maps/place/%E3%81%A8%E3%82%89%E3%81%9D%E3%81%B0/data=!4m2!3m1!1s0x60188cd9d86e849b:0xdcac8a457b6403b3,
油そば 力(ちから),,https://www.google.com/maps/place/%E6%B2%B9%E3%81%9D%E3%81%B0+%E5%8A%9B(%E3%81%A1%E3%81%8B%E3%82%89)/data=!4m2!3m1!1s0x60188d3828080e79:0x64578321797595e8,
そばいち 新宿,Mushroom creamy soba was based on,https://www.google.com/maps/place/%E3%81%9D%E3%81%B0%E3%81%84%E3%81%A1+%E6%96%B0%E5%AE%BF/data=!4m2!3m1!1s0x60188cd0a6f79805:0xe52b7654b2019dd9,
まぜそば 油そば ラーメン 渋谷 チョップス,,https://www.google.com/maps/place/%E3%81%BE%E3%81%9C%E3%81%9D%E3%81%B0+%E6%B2%B9%E3%81%9D%E3%81%B0+%E3%83%A9%E3%83%BC%E3%83%A1%E3%83%B3+%E6%B8%8B%E8%B0%B7+%E3%83%81%E3%83%A7%E3%83%83%E3%83%97%E3%82%B9/data=!4m2!3m1!1s0x60188db09518b7b1:0x4a2fdc56d673fcf,
