Title,Note,URL,Comment
溝口温泉 喜楽里,Keita onsen 23/11/23,https://www.google.com/maps/place/%E6%BA%9D%E5%8F%A3%E6%B8%A9%E6%B3%89+%E5%96%9C%E6%A5%BD%E9%87%8C/data=!4m2!3m1!1s0x6018f5c5a97bfaef:0xc61ac11055699af7,
金春湯,Went with porter,https://www.google.com/maps/place/%E9%87%91%E6%98%A5%E6%B9%AF/data=!4m2!3m1!1s0x60188be8ed5ba33d:0xf4f8a55d5d63a22d,
文化浴泉,Went with grant,https://www.google.com/maps/place/%E6%96%87%E5%8C%96%E6%B5%B4%E6%B3%89/data=!4m2!3m1!1s0x6018f4ab8aab6931:0x2dc60dfc93b2fd97,
渋谷SAUNAS,Not onsen but sauna (2800?),https://www.google.com/maps/place/%E6%B8%8B%E8%B0%B7SAUNAS/data=!4m2!3m1!1s0x60188bcc32df38a7:0x7502eca6d657ed60,
さかえ湯,,https://www.google.com/maps/place/%E3%81%95%E3%81%8B%E3%81%88%E6%B9%AF/data=!4m2!3m1!1s0x60188b5b62b19743:0x5dbf21e82d90dec1,
改良湯,Cool design onsen like youth,https://www.google.com/maps/place/%E6%94%B9%E8%89%AF%E6%B9%AF/data=!4m2!3m1!1s0x60188b42dc8aeadb:0xa7d967095dd3ce9e,
美しの湯,,https://www.google.com/maps/place/%E7%BE%8E%E3%81%97%E3%81%AE%E6%B9%AF/data=!4m2!3m1!1s0x6018f21954878c97:0x9c18033e6d8407d4,
光明泉,,https://www.google.com/maps/place/%E5%85%89%E6%98%8E%E6%B3%89/data=!4m2!3m1!1s0x60188b48b4340837:0xc5dc6e3eb5e99118,
Maenohara Onsen Sayano Yudokoro,,https://www.google.com/maps/place/Maenohara+Onsen+Sayano+Yudokoro/data=!4m2!3m1!1s0x6018932b66f49edf:0x33683e34d162f445,
天山湯治郷,,https://www.google.com/maps/place/%E5%A4%A9%E5%B1%B1%E6%B9%AF%E6%B2%BB%E9%83%B7/data=!4m2!3m1!1s0x6019a306ec64d5a7:0x88493577a5e38a51,
