Self explanatory

Title,Note,URL,Comment
かね田,"Wide noodles, wagyu",https://www.google.com/maps/place/%E3%81%8B%E3%81%AD%E7%94%B0/data=!4m2!3m1!1s0x60188bb07ceb0f9b:0x98e4c946bb6b2c4,
らぁ麺 さわ田,"Duck ramen went with Elias 2025 3 jan
Pretty good, got extra egg for free for adding them on line",https://www.google.com/maps/place/%E3%82%89%E3%81%81%E9%BA%BA+%E3%81%95%E3%82%8F%E7%94%B0/data=!4m2!3m1!1s0x6018efd371ee330d:0x1f12526e30a2553,
俺流塩らーめん 神宮前店,Went with Kevin,https://www.google.com/maps/place/%E4%BF%BA%E6%B5%81%E5%A1%A9%E3%82%89%E3%83%BC%E3%82%81%E3%82%93+%E7%A5%9E%E5%AE%AE%E5%89%8D%E5%BA%97/data=!4m2!3m1!1s0x60188ca4148fd4b3:0x61e6d8cc1d422ee4,
鶏そば·ラーメン Tonari,Toripaitan Ramen place in west shibuya,https://www.google.com/maps/place/%E9%B6%8F%E3%81%9D%E3%81%B0%C2%B7%E3%83%A9%E3%83%BC%E3%83%A1%E3%83%B3+Tonari/data=!4m2!3m1!1s0x60188caa67a6aaab:0x2c9aedc6597ec2c7,
ホープ軒本舗 吉祥寺店,Host family first ramen in jp,https://www.google.com/maps/place/%E3%83%9B%E3%83%BC%E3%83%97%E8%BB%92%E6%9C%AC%E8%88%97+%E5%90%89%E7%A5%A5%E5%AF%BA%E5%BA%97/data=!4m2!3m1!1s0x6018ee47bf704955:0x982d7ab370acf211,
支那そば たんたん亭,3.7 tabelog was pre good,https://www.google.com/maps/place/%E6%94%AF%E9%82%A3%E3%81%9D%E3%81%B0+%E3%81%9F%E3%82%93%E3%81%9F%E3%82%93%E4%BA%AD/data=!4m2!3m1!1s0x6018f23f211d91f1:0xb79c1b46aab96b3a,
中華そば つるや,Lots of meat,https://www.google.com/maps/place/%E4%B8%AD%E8%8F%AF%E3%81%9D%E3%81%B0+%E3%81%A4%E3%82%8B%E3%82%84/data=!4m2!3m1!1s0x6018f39eee387297:0xb1f957ebe6d25138,
麺処 花田 池袋店,,https://www.google.com/maps/place/%E9%BA%BA%E5%87%A6+%E8%8A%B1%E7%94%B0+%E6%B1%A0%E8%A2%8B%E5%BA%97/data=!4m2!3m1!1s0x60188d68bc75857f:0xb1c187e8c053636,
鶏soba座銀 神楽坂店,Tori paitan very good,https://www.google.com/maps/place/%E9%B6%8Fsoba%E5%BA%A7%E9%8A%80+%E7%A5%9E%E6%A5%BD%E5%9D%82%E5%BA%97/data=!4m2!3m1!1s0x60188d9cbd504ca3:0x2a87769cb9c3f6eb,
地鶏と金目鯛 中華そば 導,,https://www.google.com/maps/place/%E5%9C%B0%E9%B6%8F%E3%81%A8%E9%87%91%E7%9B%AE%E9%AF%9B+%E4%B8%AD%E8%8F%AF%E3%81%9D%E3%81%B0+%E5%B0%8E/data=!4m2!3m1!1s0x6018f3f1d60e5d87:0x80d58c94327defdb,
風雲児,Really good tsukemen went with karins bf,https://www.google.com/maps/place/%E9%A2%A8%E9%9B%B2%E5%85%90/data=!4m2!3m1!1s0x60188ccfae1f4fe7:0x2d6a64fb6fab829c,
Bonito Soup Noodle RAIK ボニートスープヌードルライク,Went with yuxiao,https://www.google.com/maps/place/Bonito+Soup+Noodle+RAIK+%E3%83%9C%E3%83%8B%E3%83%BC%E3%83%88%E3%82%B9%E3%83%BC%E3%83%97%E3%83%8C%E3%83%BC%E3%83%89%E3%83%AB%E3%83%A9%E3%82%A4%E3%82%AF/data=!4m2!3m1!1s0x6018f25749099623:0x832cd5e1d5c02b72,
らあめん花月嵐 永福町店,,https://www.google.com/maps/place/%E3%82%89%E3%81%82%E3%82%81%E3%82%93%E8%8A%B1%E6%9C%88%E5%B5%90+%E6%B0%B8%E7%A6%8F%E7%94%BA%E5%BA%97/data=!4m2!3m1!1s0x6018f253cb958ab5:0x8ef006603c03cb41,
博多天神 渋谷南口店,Went with gadi on rainy night,https://www.google.com/maps/place/%E5%8D%9A%E5%A4%9A%E5%A4%A9%E7%A5%9E+%E6%B8%8B%E8%B0%B7%E5%8D%97%E5%8F%A3%E5%BA%97/data=!4m2!3m1!1s0x60188b57b9d066b3:0xe8bbac7199ca83b,
永福町 大勝軒,Famous ramen in eifukucho,https://www.google.com/maps/place/%E6%B0%B8%E7%A6%8F%E7%94%BA+%E5%A4%A7%E5%8B%9D%E8%BB%92/data=!4m2!3m1!1s0x6018f2539ed743b9:0xf6f41ddcd3c1e26,
千歳,,https://www.google.com/maps/place/%E5%8D%83%E6%AD%B3/data=!4m2!3m1!1s0x6018f2530e3d5d53:0x313f8df516f4448f,
西永福の煮干箱,,https://www.google.com/maps/place/%E8%A5%BF%E6%B0%B8%E7%A6%8F%E3%81%AE%E7%85%AE%E5%B9%B2%E7%AE%B1/data=!4m2!3m1!1s0x6018f3b9d15d9cbb:0x1b5ff50e72972204,
厚木家,ie kei ramen authentic ,https://www.google.com/maps/place/%E5%8E%9A%E6%9C%A8%E5%AE%B6/data=!4m2!3m1!1s0x6019001b4d74f703:0x81df7104cf39342c,
Ramen Kamo to Negi,,https://www.google.com/maps/place/Ramen+Kamo+to+Negi/data=!4m2!3m1!1s0x60188e9f836fe4eb:0xe59c5e732e04d0f7,
Ginza Kagari Main Branch,"Famous chicken ramen, haven't been yet",https://www.google.com/maps/place/Ginza+Kagari+Main+Branch/data=!4m2!3m1!1s0x60188b206409298f:0x82596ca4626f1e33,
横浜家系ラーメン壱角家 下北沢店,ie kei ramen(yokohama) but not super authentic. Atsugi (?) ramen is authentic ie kei,https://www.google.com/maps/place/%E6%A8%AA%E6%B5%9C%E5%AE%B6%E7%B3%BB%E3%83%A9%E3%83%BC%E3%83%A1%E3%83%B3%E5%A3%B1%E8%A7%92%E5%AE%B6+%E4%B8%8B%E5%8C%97%E6%B2%A2%E5%BA%97/data=!4m2!3m1!1s0x6018f38764041169:0xdee2f1f2cc08ea1,
Hakata Ramen Ichiban,"Pretty good, similar to hakata gensuke",https://www.google.com/maps/place/Hakata+Ramen+Ichiban/data=!4m2!3m1!1s0x60188fd6c29ddf83:0xf28a5c62ba6b3601,
MENSHO SAN FRANCISCO,"Pretty good, tantanmen nice
Matcha ramen was unique but tasted funny",https://www.google.com/maps/place/MENSHO+SAN+FRANCISCO/data=!4m2!3m1!1s0x60188d5c0d596401:0x48e3c16b8f0ab3a3,
銀座 篝(かがり)鎌倉店,,https://www.google.com/maps/place/%E9%8A%80%E5%BA%A7+%E7%AF%9D(%E3%81%8B%E3%81%8C%E3%82%8A)%E9%8E%8C%E5%80%89%E5%BA%97/data=!4m2!3m1!1s0x6018453f87ebf21d:0x3179d0fc1eb264ee,
