Title,Note,URL,Comment
BOOKOFF 西川口駅東口店,,https://www.google.com/maps/place/BOOKOFF+%E8%A5%BF%E5%B7%9D%E5%8F%A3%E9%A7%85%E6%9D%B1%E5%8F%A3%E5%BA%97/data=!4m2!3m1!1s0x601894a48ae7117b:0x31809de16d90e70,
おかしのまちおか 新宿西口店,Snacks,https://www.google.com/maps/place/%E3%81%8A%E3%81%8B%E3%81%97%E3%81%AE%E3%81%BE%E3%81%A1%E3%81%8A%E3%81%8B+%E6%96%B0%E5%AE%BF%E8%A5%BF%E5%8F%A3%E5%BA%97/data=!4m2!3m1!1s0x60188cd5d651029f:0x493f24855fb66522,
ハンズ渋谷スクランブルスクエア店,,https://www.google.com/maps/place/%E3%83%8F%E3%83%B3%E3%82%BA%E6%B8%8B%E8%B0%B7%E3%82%B9%E3%82%AF%E3%83%A9%E3%83%B3%E3%83%96%E3%83%AB%E3%82%B9%E3%82%AF%E3%82%A8%E3%82%A2%E5%BA%97/data=!4m2!3m1!1s0x60188b870f7643d1:0xc4b8f78185b8015a,
MEGAドン・キホーテ 渋谷本店,,https://www.google.com/maps/place/MEGA%E3%83%89%E3%83%B3%E3%83%BB%E3%82%AD%E3%83%9B%E3%83%BC%E3%83%86+%E6%B8%8B%E8%B0%B7%E6%9C%AC%E5%BA%97/data=!4m2!3m1!1s0x60188ca9a47a82af:0x7ea0d3bc82ce0275,
コストコホールセール 多摩境倉庫店,,https://www.google.com/maps/place/%E3%82%B3%E3%82%B9%E3%83%88%E3%82%B3%E3%83%9B%E3%83%BC%E3%83%AB%E3%82%BB%E3%83%BC%E3%83%AB+%E5%A4%9A%E6%91%A9%E5%A2%83%E5%80%89%E5%BA%AB%E5%BA%97/data=!4m2!3m1!1s0x60191d56ffb10001:0xdb0fd35c4c864528,
DAISO アリオ川口店,,https://www.google.com/maps/place/DAISO+%E3%82%A2%E3%83%AA%E3%82%AA%E5%B7%9D%E5%8F%A3%E5%BA%97/data=!4m2!3m1!1s0x601893004c9d07ed:0x755de6f77027d8d5,
買取専門店 おたからや 永福店,,https://www.google.com/maps/place/%E8%B2%B7%E5%8F%96%E5%B0%82%E9%96%80%E5%BA%97+%E3%81%8A%E3%81%9F%E3%81%8B%E3%82%89%E3%82%84+%E6%B0%B8%E7%A6%8F%E5%BA%97/data=!4m2!3m1!1s0x6018f3e31e8ebec5:0x605a24b921196b89,
アポロ商店,,https://www.google.com/maps/place/%E3%82%A2%E3%83%9D%E3%83%AD%E5%95%86%E5%BA%97/data=!4m2!3m1!1s0x6018f30052a1ac4d:0xcb2b9bb36fc1e43a,
総合リサイクルショップひかり,,https://www.google.com/maps/place/%E7%B7%8F%E5%90%88%E3%83%AA%E3%82%B5%E3%82%A4%E3%82%AF%E3%83%AB%E3%82%B7%E3%83%A7%E3%83%83%E3%83%97%E3%81%B2%E3%81%8B%E3%82%8A/data=!4m2!3m1!1s0x601895f08fdcfa69:0x3dcd88d8cad5b482,
三井アウトレットパーク 幕張,,https://www.google.com/maps/place/%E4%B8%89%E4%BA%95%E3%82%A2%E3%82%A6%E3%83%88%E3%83%AC%E3%83%83%E3%83%88%E3%83%91%E3%83%BC%E3%82%AF+%E5%B9%95%E5%BC%B5/data=!4m2!3m1!1s0x6022821f8b6fffff:0x8e4926ae77dfce2e,
