Title,Note,URL,Comment
Rivareno Gelato Barangaroo,,https://www.google.com/maps/place/Rivareno+Gelato+Barangaroo/data=!4m2!3m1!1s0x6b12ae470a88e917:0x7fb29af07abe64dd,
DOUBLE KILL GAMES 桌游吧,,https://www.google.com/maps/place/DOUBLE+KILL+GAMES+%E6%A1%8C%E6%B8%B8%E5%90%A7/data=!4m2!3m1!1s0x6b12ae2490ae8f65:0x4c79dc2a97d4db36,
Buku Eatery Cafe,,https://www.google.com/maps/place/Buku+Eatery+Cafe/data=!4m2!3m1!1s0x6b12b1ca1db43c7b:0x71efe6fd89f1fede,
Powerhouse Museum,,https://www.google.com/maps/place/Powerhouse+Museum/data=!4m2!3m1!1s0x6b12ae250a9bb2c1:0x9d9479fc0cee1580,
L’Americano Espresso Bar,,https://www.google.com/maps/place/L%E2%80%99Americano+Espresso+Bar/data=!4m2!3m1!1s0x6b12b1b9ded24eeb:0xc127c92ec15ecb4d,
St Mary's Cathedral,,https://www.google.com/maps/place/St+Mary's+Cathedral/data=!4m2!3m1!1s0x6b12ae14e6fff121:0xfe7a7407a97636de,
Kurimu X Hokkaido,,https://www.google.com/maps/place/Kurimu+X+Hokkaido/data=!4m2!3m1!1s0x6b12af5787757b99:0x1bfdf5a777b49b9a,
1915 Lanzhou Beef Noodles,,https://www.google.com/maps/place/1915+Lanzhou+Beef+Noodles/data=!4m2!3m1!1s0x6b12afb58012c415:0x79b9a58127cd8b0c,
Websters Bar Newtown,,https://www.google.com/maps/place/Websters+Bar+Newtown/data=!4m2!3m1!1s0x6b12b036cd3d37eb:0x349e7909dc77879e,
Gelato Messina Newtown,,https://www.google.com/maps/place/Gelato+Messina+Newtown/data=!4m2!3m1!1s0x6b12b033df9477e5:0x1a9f2b0917bf07c2,
MISO Japanese Restaurant,"Pork tonkatsu, sets",https://www.google.com/maps/place/MISO+Japanese+Restaurant/data=!4m2!3m1!1s0x6b12ae3d0f88e3f3:0xc4582880c5f3be0a,
Echo Point lookout (Three Sisters),,https://www.google.com/maps/place/Echo+Point+lookout+(Three+Sisters)/data=!4m2!3m1!1s0x6b126eae8ee4812b:0x375e198ff0b67f60,
Prince Henry Picnic Area,Start walk to Katoomba falls,https://www.google.com/maps/place/Prince+Henry+Picnic+Area/data=!4m2!3m1!1s0x6b126d8ca225e7af:0x566b394cc1157d76,
Katoomba Falls,,https://www.google.com/maps/place/Katoomba+Falls/data=!4m2!3m1!1s0x6b126ea801464e41:0x26dd26053f25c537,
Mountain High Pies,Blue Mountains pies,https://www.google.com/maps/place/Mountain+High+Pies/data=!4m2!3m1!1s0x6b126fa73f26c1ad:0x33d82fe2907ad97a,
Seocho-dong Chatswood,Korean,https://www.google.com/maps/place/Seocho-dong+Chatswood/data=!4m2!3m1!1s0x6b12a96766956993:0xf8098075e9489733,
Top Ryde Baker's House,"Banh mi
1
31 Marriott st Redfern",https://www.google.com/maps/place/Top+Ryde+Baker's+House/data=!4m2!3m1!1s0x6b12a5a548f19931:0x784ffe7494ee09f4,
FABRIQUE VINTAGE,"Vintage, Ansel style clothes",https://www.google.com/maps/place/FABRIQUE+VINTAGE/data=!4m2!3m1!1s0x6b12b1d0d7b38f9d:0xf080f1e78598c250,
Don Don,"Homey, no carb bento boxes, big udon variety",https://www.google.com/maps/place/Don+Don/data=!4m2!3m1!1s0x6b12ae17397dfbb5:0x2afff243f98032b7,
MYKIKI,,https://www.google.com/maps/place/MYKIKI/data=!4m2!3m1!1s0x6b12af2042355741:0xef057fec8d2372d1,
Slurp Slurp Noodle,,https://www.google.com/maps/place/Slurp+Slurp+Noodle/data=!4m2!3m1!1s0x6b12b1a95fbf1255:0x34bc68e41869e4fb,
Cuppa Flower,"Aesthetic fusion brunch, interesting drinks",https://www.google.com/maps/place/Cuppa+Flower/data=!4m2!3m1!1s0x6b12b1c411d01acf:0x98b69df1fcf5d85c,
IIKO Mazesoba,Delicious izakaya and vibes,https://www.google.com/maps/place/IIKO+Mazesoba/data=!4m2!3m1!1s0x6b12af356ffb1439:0xcb3cd47331a97b05,
Paddington Markets,,https://www.google.com/maps/place/Paddington+Markets/data=!4m2!3m1!1s0x6b12ae06ef3eca9b:0x77173e8ecd16c439,
Social Society,Aesthetic,https://www.google.com/maps/place/Social+Society/data=!4m2!3m1!1s0x6b12b15cb09a46bf:0x923d51e9b0ffa650,
Daruma,,https://www.google.com/maps/place/Daruma/data=!4m2!3m1!1s0x6b12ae25e604051f:0x221bb085deeac4f8,
Wildpear Cafe,,https://www.google.com/maps/place/Wildpear+Cafe/data=!4m2!3m1!1s0x6b0d5f5fee7c5155:0x66a31b3490e4700,
Gelato Messina,,https://www.google.com/maps/place/Gelato+Messina/data=!4m2!3m1!1s0x6b12b1bb4b0333d3:0x2a7cbc7a5ca38782,
Tea Shop Express,Bbt,https://www.google.com/maps/place/Tea+Shop+Express/data=!4m2!3m1!1s0x6b12ae3c492ede15:0xddbf7d9831348974,
The Barber Shop,,https://www.google.com/maps/place/The+Barber+Shop/data=!4m2!3m1!1s0x6b12ae3f1628c321:0x3d3db827d0be5809,
KOI Dessert Bar,,https://www.google.com/maps/place/KOI+Dessert+Bar/data=!4m2!3m1!1s0x6b12ae2706117799:0xefc3c73876e474dd,
Sokyo,,https://www.google.com/maps/place/Sokyo/data=!4m2!3m1!1s0x6b12ae36eaaaaaab:0x28d69f3f4b887b02,
Mango Coco,"Thai mango bingsus
Salted egg desserts",https://www.google.com/maps/place/Mango+Coco/data=!4m2!3m1!1s0x6b12afe0d3ed53ed:0xe797d3a9c43fee8c,
Medan Ciak,,https://www.google.com/maps/place/Medan+Ciak/data=!4m2!3m1!1s0x6b12ae3d0eb0e565:0xd1f9bfddbc17201a,
Eternity Cafe,,https://www.google.com/maps/place/Eternity+Cafe/data=!4m2!3m1!1s0x6b12afc8c691ff5f:0xb59a7b49562f8389,
The Grounds of Alexandria,,https://www.google.com/maps/place/The+Grounds+of+Alexandria/data=!4m2!3m1!1s0x6b12b1b6a409b215:0xaf0cfe2766ccbc4a,
Haidilao Hotpot 海底捞火锅 (Darling Square),,https://www.google.com/maps/place/Haidilao+Hotpot+%E6%B5%B7%E5%BA%95%E6%8D%9E%E7%81%AB%E9%94%85+(Darling+Square)/data=!4m2!3m1!1s0x6b12af1e2bd4f6d9:0xe75929df6db05bf0,
Matcha-Ya,A lot of matcha drinks,https://www.google.com/maps/place/Matcha-Ya/data=!4m2!3m1!1s0x6b12af05422b38cd:0x747b3a72d6e628e2,
Cafe Oratnek,Omurice,https://www.google.com/maps/place/Cafe+Oratnek/data=!4m2!3m1!1s0x6b12b1d8d3b3adb3:0xca4425b93a5dd9b4,
Touka Parramatta,,https://www.google.com/maps/place/Touka+Parramatta/data=!4m2!3m1!1s0x6b12a31ec4dcfa89:0x326582f4787177fa,
Tuga Pastries,Portuguese tart,https://www.google.com/maps/place/Tuga+Pastries/data=!4m2!3m1!1s0x6b12b15553d7c4b7:0x82c8ce783fbde9ab,
Salt Meats Cheese Circular Quay,"Burrata, Tiramisu",https://www.google.com/maps/place/Salt+Meats+Cheese+Circular+Quay/data=!4m2!3m1!1s0x6b12ae42774aee73:0xbf9fa1fa942794b8,
Meet Mica,Special Asian fusion brunch,https://www.google.com/maps/place/Meet+Mica/data=!4m2!3m1!1s0x6b12b1df8a28f367:0xd873de67b6bc7ff9,
Henry Lee's Redfern,,https://www.google.com/maps/place/Henry+Lee's+Redfern/data=!4m2!3m1!1s0x6b12b1d8337fcd85:0xd8cdf6d1016739fd,
Oiden Bowl Bar,,https://www.google.com/maps/place/Oiden+Bowl+Bar/data=!4m2!3m1!1s0x6b12ae3c8b4b1e87:0xe0e085c399c5d9ec,
Menya Noodle Bar,,https://www.google.com/maps/place/Menya+Noodle+Bar/data=!4m2!3m1!1s0x6b12ae3ecc16cd7b:0x354eb1b6c7a12d51,
TOKKI,,https://www.google.com/maps/place/TOKKI/data=!4m2!3m1!1s0x6b12af3b6e5bd63d:0xbd4021c4ab96f4eb,
Haidilao Chatswood,,https://www.google.com/maps/place/Haidilao+Chatswood/data=!4m2!3m1!1s0x6b12a8d437f640d1:0x9826424a9ff0a1ba,
Black Star Pastry,,https://www.google.com/maps/place/Black+Star+Pastry/data=!4m2!3m1!1s0x6b12ae256e22b1d9:0x979c15352d2484ff,
Chinatown Friday Night Market,,https://www.google.com/maps/place/Chinatown+Friday+Night+Market/data=!4m2!3m1!1s0x6b12ae24a152a509:0x16e83f41002bb791,
Poly,,https://www.google.com/maps/place/Poly/data=!4m2!3m1!1s0x6b12afa0141dc9a1:0xa35bf85494a3a0be,
