Title,Note,URL,Comment
ドムドムハンバーガー イオンスタイル赤羽店,,https://www.google.com/maps/place/%E3%83%89%E3%83%A0%E3%83%89%E3%83%A0%E3%83%8F%E3%83%B3%E3%83%90%E3%83%BC%E3%82%AC%E3%83%BC+%E3%82%A4%E3%82%AA%E3%83%B3%E3%82%B9%E3%82%BF%E3%82%A4%E3%83%AB%E8%B5%A4%E7%BE%BD%E5%BA%97/data=!4m2!3m1!1s0x601893fa844bac39:0xcdf65f7da44bee18,
マクドナルド 西川口店,,https://www.google.com/maps/place/%E3%83%9E%E3%82%AF%E3%83%89%E3%83%8A%E3%83%AB%E3%83%89+%E8%A5%BF%E5%B7%9D%E5%8F%A3%E5%BA%97/data=!4m2!3m1!1s0x601894a4f38e6fb7:0x71a699a43a89dd65,
マネキチキン,,https://www.google.com/maps/place/%E3%83%9E%E3%83%8D%E3%82%AD%E3%83%81%E3%82%AD%E3%83%B3/data=!4m2!3m1!1s0x60188d6879811069:0xdd2cea83c4410e18,
バーガーキング 新宿小滝橋店,"2024/12/25 waiting for yuxiao dinner
Got kyoto whopper kinda mid…",https://www.google.com/maps/place/%E3%83%90%E3%83%BC%E3%82%AC%E3%83%BC%E3%82%AD%E3%83%B3%E3%82%B0+%E6%96%B0%E5%AE%BF%E5%B0%8F%E6%BB%9D%E6%A9%8B%E5%BA%97/data=!4m2!3m1!1s0x60188d29a1c5bc89:0x67f5935b22522e28,
バーガーキング 川口キュポ・ラ店,"Went 2024-12/23 nuggets were trash, mushroom whopper was really good",https://www.google.com/maps/place/%E3%83%90%E3%83%BC%E3%82%AC%E3%83%BC%E3%82%AD%E3%83%B3%E3%82%B0+%E5%B7%9D%E5%8F%A3%E3%82%AD%E3%83%A5%E3%83%9D%E3%83%BB%E3%83%A9%E5%BA%97/data=!4m2!3m1!1s0x6018936e92cc6b5d:0x2d8e759efcc6ebc0,
NY BISTRO by NO CODE,,https://www.google.com/maps/place/NY+BISTRO+by+NO+CODE/data=!4m2!3m1!1s0x60188b006e3b2283:0xdbdaf58a2c3836d5,
アメリカンダイナーアンドラ,"Burger w cheese plate
Tiktok 

https://www.youtube.com/shorts/tYiYrVMSy5M?si=saaFysQaVl4_oj6U

https://vt.tiktok.com/ZSNQgDQxw/",https://www.google.com/maps/place/%E3%82%A2%E3%83%A1%E3%83%AA%E3%82%AB%E3%83%B3%E3%83%80%E3%82%A4%E3%83%8A%E3%83%BC%E3%82%A2%E3%83%B3%E3%83%89%E3%83%A9/data=!4m2!3m1!1s0x60188e99bc7f861b:0xed9efba3103a448d,
SHE WOLF DINER,"Went with yuki nice steak-like burger patty, good chips (thin cut home made)",https://www.google.com/maps/place/SHE+WOLF+DINER/data=!4m2!3m1!1s0x60188d3142ab6ccb:0x4ff2d28ac28d019e,
Coaster Craft Beer & Burgers,"Great smash burgers, bit expensive though (2200 for double)",https://www.google.com/maps/place/Coaster+Craft+Beer+%26+Burgers/data=!4m2!3m1!1s0x6018f3ede6b863eb:0x4b06d2d7f77b7d3,
Gastropub GOZO,,https://www.google.com/maps/place/Gastropub+GOZO/data=!4m2!3m1!1s0x6018f3695853c7db:0xce02bee8cd1afa57,
HENRY'S BURGER Daikanyama,smash burgers,https://www.google.com/maps/place/HENRY'S+BURGER+Daikanyama/data=!4m2!3m1!1s0x60188b45ee7ed9f9:0x6318e9bda9d1c5b3,
Mikkeller Kanda,smash burgers,https://www.google.com/maps/place/Mikkeller+Kanda/data=!4m2!3m1!1s0x60188dfc789f8185:0x4e06ae0a122a4348,
Fire House,,https://www.google.com/maps/place/Fire+House/data=!4m2!3m1!1s0x60188c3bd028a135:0x70fb5ad13908138e,
