Title,Note,URL,Comment
本格中国式朝食＆屋台料理 煎餅菓子研究室 みみ,,https://www.google.com/maps/place/%E6%9C%AC%E6%A0%BC%E4%B8%AD%E5%9B%BD%E5%BC%8F%E6%9C%9D%E9%A3%9F%EF%BC%86%E5%B1%8B%E5%8F%B0%E6%96%99%E7%90%86+%E7%85%8E%E9%A4%85%E8%8F%93%E5%AD%90%E7%A0%94%E7%A9%B6%E5%AE%A4+%E3%81%BF%E3%81%BF/data=!4m2!3m1!1s0x60188d41dc58af93:0x681498277c267508,
友誼商店,,https://www.google.com/maps/place/%E5%8F%8B%E8%AA%BC%E5%95%86%E5%BA%97/data=!4m2!3m1!1s0x60188d5decc15555:0x2b172b0bf77c9c8c,
吉祥寺プティット村,,https://www.google.com/maps/place/%E5%90%89%E7%A5%A5%E5%AF%BA%E3%83%97%E3%83%86%E3%82%A3%E3%83%83%E3%83%88%E6%9D%91/data=!4m2!3m1!1s0x6018ee494564f00b:0x10f918221a23dade,
Tokyo Comedy Bar (TCB),,https://www.google.com/maps/place/Tokyo+Comedy+Bar+(TCB)/data=!4m2!3m1!1s0x60188b7fd0219b2d:0x2e6dc888bec78eb0,
指定した地点,Jumping stuff at Park lol,"https://www.google.com/maps/search/35.6552806,139.7461326",
東京ドーム,,https://www.google.com/maps/place/%E6%9D%B1%E4%BA%AC%E3%83%89%E3%83%BC%E3%83%A0/data=!4m2!3m1!1s0x60188c4782eed4f3:0x5058b288249e640e,
Platinum Don Quijote Shirokane-dai,,https://www.google.com/maps/place/Platinum+Don+Quijote+Shirokane-dai/data=!4m2!3m1!1s0x60188b03823af95b:0x58ef4c0156b9ec31,
宮下公園 ボルダリングウォール,,https://www.google.com/maps/place/%E5%AE%AE%E4%B8%8B%E5%85%AC%E5%9C%92+%E3%83%9C%E3%83%AB%E3%83%80%E3%83%AA%E3%83%B3%E3%82%B0%E3%82%A6%E3%82%A9%E3%83%BC%E3%83%AB/data=!4m2!3m1!1s0x60188ca7db3d7089:0x2bf3c6cdd419d22e,
Asagaya Pearl Center Shopping Street,,https://www.google.com/maps/place/Asagaya+Pearl+Center+Shopping+Street/data=!4m2!3m1!1s0x6018f27136a6f5f3:0xb7322a1fe2a56563,
Komazawa Olympic Park,,https://www.google.com/maps/place/Komazawa+Olympic+Park/data=!4m2!3m1!1s0x6018f4f2bc54ffab:0x6e427037e4c90f2d,
Recycling bomb,,https://www.google.com/maps/place/Recycling+bomb/data=!4m2!3m1!1s0x60188d211312ae7b:0x61a71aff0de1002f,
Todoroki Ravine,,https://www.google.com/maps/place/Todoroki+Ravine/data=!4m2!3m1!1s0x6018f456dfa3562f:0x2e39c9d9b7e92ce6,
Gyōmu Super Sasazuka Store,,https://www.google.com/maps/place/Gy%C5%8Dmu+Super+Sasazuka+Store/data=!4m2!3m1!1s0x6018f31aee5d9d8d:0xa9ae92548087e6de,
Tasuichi Shibuya,,https://www.google.com/maps/place/Tasuichi+Shibuya/data=!4m2!3m1!1s0x60188ca970e68463:0xab135d50f5dfe39,
Din Tai Fung Shinjuku,,https://www.google.com/maps/place/Din+Tai+Fung+Shinjuku/data=!4m2!3m1!1s0x60188cc57488394b:0x4d7072ef8a63d3ae,
スターバックスコーヒー STARBUCKS RESERVE(R) ROASTERY TOKYO,,https://www.google.com/maps/place/%E3%82%B9%E3%82%BF%E3%83%BC%E3%83%90%E3%83%83%E3%82%AF%E3%82%B9%E3%82%B3%E3%83%BC%E3%83%92%E3%83%BC+STARBUCKS+RESERVE(R)+ROASTERY+TOKYO/data=!4m2!3m1!1s0x60188b88b7d8f7ab:0x2133080e9923eaac,
Jazz Spot Intro,"Jazz bar free cover charge TueWedTSS 6:30pm+

https://www.instagram.com/reel/C01Z53prOpx/?igsh=ZWQ3ODFjY2VlOQ==",https://www.google.com/maps/place/Jazz+Spot+Intro/data=!4m2!3m1!1s0x60188d3953a9f8d5:0xebf6da7c4d851e45,
東京国際フォーラム,Cool architecture ,https://www.google.com/maps/place/%E6%9D%B1%E4%BA%AC%E5%9B%BD%E9%9A%9B%E3%83%95%E3%82%A9%E3%83%BC%E3%83%A9%E3%83%A0/data=!4m2!3m1!1s0x60188bfabc68fde1:0xc4ca6a002ded263d,
The SG Club,Cherry recc one of top bars in Asia apparently ,https://www.google.com/maps/place/The+SG+Club/data=!4m2!3m1!1s0x60188caf2f129707:0x7e601ba95d199ecb,
国立国会図書館,Library,https://www.google.com/maps/place/%E5%9B%BD%E7%AB%8B%E5%9B%BD%E4%BC%9A%E5%9B%B3%E6%9B%B8%E9%A4%A8/data=!4m2!3m1!1s0x60188c77b78c7ad3:0x1ffe883c91f5176,
