Title,Note,URL,Comment
Dropped pin,,"https://www.google.com/maps/search/-31.9475109,115.8531904",
指定した地点,,"https://www.google.com/maps/search/-31.9478523,115.825505",
State Route 5,,https://www.google.com/maps/place/State+Route+5/data=!4m2!3m1!1s0x2a32bb2912e0f0cf:0x9344bb7a1a60fae0,
Unnamed Road,,https://www.google.com/maps/place/Unnamed+Road/data=!4m2!3m1!1s0x2a32bc88e8746d23:0x10a66a2795177e,
Dropped pin,,"https://www.google.com/maps/search/-31.9453826,115.8565288",
Dropped pin,,"https://www.google.com/maps/search/-31.9848803,115.8217673",
Dropped pin,,"https://www.google.com/maps/search/-32.1497543,115.8688639",
Dropped pin,,"https://www.google.com/maps/search/-32.0555145,115.7491713",
Dropped pin,,"https://www.google.com/maps/search/-32.0188946,115.9390898",
Dropped pin,,"https://www.google.com/maps/search/-31.9450787,115.8559062",
Viva Photography,,https://www.google.com/maps/place/Viva+Photography/data=!4m2!3m1!1s0x2a32a51677514a83:0x7ec4451381f21a66,
Dropped pin,,"https://www.google.com/maps/search/-32.0072054,115.8975629",
