Title,Note,URL,Comment
谷中銀座,,https://www.google.com/maps/place/%E8%B0%B7%E4%B8%AD%E9%8A%80%E5%BA%A7/data=!4m2!3m1!1s0x60188dd19c058c3d:0xef3d1026c2974760,
ABEBE BAKERY JEJU×TOKYO,Yx wanna try pistachio and black sesame,https://www.google.com/maps/place/ABEBE+BAKERY+JEJU%C3%97TOKYO/data=!4m2!3m1!1s0x60188d0034c69239:0x196428b2e1f35f4d,
ワセダオートテニスプラザ,Tennis place want to go,https://www.google.com/maps/place/%E3%83%AF%E3%82%BB%E3%83%80%E3%82%AA%E3%83%BC%E3%83%88%E3%83%86%E3%83%8B%E3%82%B9%E3%83%97%E3%83%A9%E3%82%B6/data=!4m2!3m1!1s0x60188d1b2806baa5:0xf9ba6d2c49ea5f85,
孫ちゃん上海焼き小籠包,,https://www.google.com/maps/place/%E5%AD%AB%E3%81%A1%E3%82%83%E3%82%93%E4%B8%8A%E6%B5%B7%E7%84%BC%E3%81%8D%E5%B0%8F%E7%B1%A0%E5%8C%85/data=!4m2!3m1!1s0x6018f27e0f8fbe01:0xc51da986b068a2a,
cas:pace 殼空間,,https://www.google.com/maps/place/cas:pace+%E6%AE%BC%E7%A9%BA%E9%96%93/data=!4m2!3m1!1s0x60188d6dc8dc4f4f:0x628a377b356602ca,
かね田,,https://www.google.com/maps/place/%E3%81%8B%E3%81%AD%E7%94%B0/data=!4m2!3m1!1s0x60188bb07ceb0f9b:0x98e4c946bb6b2c4,
Colin`s &,,https://www.google.com/maps/place/Colin%60s+%26/data=!4m2!3m1!1s0x60188d52652d61b3:0xd8fbe795e2dc4430,
GARB CENTRAL,Yx wanted to go (Christmas Eve),https://www.google.com/maps/place/GARB+CENTRAL/data=!4m2!3m1!1s0x60188c7bed639fe1:0x19e166e297570d10,
香港焼味酒家 赤坂璃宮,,https://www.google.com/maps/place/%E9%A6%99%E6%B8%AF%E7%84%BC%E5%91%B3%E9%85%92%E5%AE%B6+%E8%B5%A4%E5%9D%82%E7%92%83%E5%AE%AE/data=!4m2!3m1!1s0x60188b1f4a472637:0x8f4895d66f7139ee,
やきとん酒場 TONTON 新宿歌舞伎町店,,https://www.google.com/maps/place/%E3%82%84%E3%81%8D%E3%81%A8%E3%82%93%E9%85%92%E5%A0%B4+TONTON+%E6%96%B0%E5%AE%BF%E6%AD%8C%E8%88%9E%E4%BC%8E%E7%94%BA%E5%BA%97/data=!4m2!3m1!1s0x60188d49f7a91403:0xebc5411c131049e7,
成都飯店,,https://www.google.com/maps/place/%E6%88%90%E9%83%BD%E9%A3%AF%E5%BA%97/data=!4m2!3m1!1s0x60188df55c238d27:0x62b5402e1e9f6266,
香港物語 四ツ谷本店,Dimsum,https://www.google.com/maps/place/%E9%A6%99%E6%B8%AF%E7%89%A9%E8%AA%9E+%E5%9B%9B%E3%83%84%E8%B0%B7%E6%9C%AC%E5%BA%97/data=!4m2!3m1!1s0x601885a878be04b3:0x2c8d0c1986df9315,
中華小料理・双鳳,,https://www.google.com/maps/place/%E4%B8%AD%E8%8F%AF%E5%B0%8F%E6%96%99%E7%90%86%E3%83%BB%E5%8F%8C%E9%B3%B3/data=!4m2!3m1!1s0x601893bf8d547f3f:0x99489c89ffdefd3c,
珞珈壹号 銀座店,,https://www.google.com/maps/place/%E7%8F%9E%E7%8F%88%E5%A3%B9%E5%8F%B7+%E9%8A%80%E5%BA%A7%E5%BA%97/data=!4m2!3m1!1s0x60188b8d335aab8b:0xffc072858200ef74,
BONTEMPS東京原宿,,https://www.google.com/maps/place/BONTEMPS%E6%9D%B1%E4%BA%AC%E5%8E%9F%E5%AE%BF/data=!4m2!3m1!1s0x60188daf60efb6c9:0x761fe095a52448d0,
呑み食い処 龍神,,https://www.google.com/maps/place/%E5%91%91%E3%81%BF%E9%A3%9F%E3%81%84%E5%87%A6+%E9%BE%8D%E7%A5%9E/data=!4m2!3m1!1s0x6018952261c06429:0xb8e05d1336c2298b,
boB the cafe+Sento Bene,Caneles,https://www.google.com/maps/place/boB+the+cafe%2BSento+Bene/data=!4m2!3m1!1s0x6018f3debcd2ff33:0xf42ad51d55977019,
赤羽あんこ 赤羽店,Akabane anko,https://www.google.com/maps/place/%E8%B5%A4%E7%BE%BD%E3%81%82%E3%82%93%E3%81%93+%E8%B5%A4%E7%BE%BD%E5%BA%97/data=!4m2!3m1!1s0x6018931c4fe37101:0x7f731cfb7accee5,
KINKA sushi bar izakaya 渋谷,Sushi bar,https://www.google.com/maps/place/KINKA+sushi+bar+izakaya+%E6%B8%8B%E8%B0%B7/data=!4m2!3m1!1s0x60188ca9206cd3cf:0x66782939f33bb0e8,
ローストビーフ大野 南池袋店,Roast beef,https://www.google.com/maps/place/%E3%83%AD%E3%83%BC%E3%82%B9%E3%83%88%E3%83%93%E3%83%BC%E3%83%95%E5%A4%A7%E9%87%8E+%E5%8D%97%E6%B1%A0%E8%A2%8B%E5%BA%97/data=!4m2!3m1!1s0x60188d6898e45555:0x7130d5c82dca26cf,
香港飲茶点心厨房,,https://www.google.com/maps/place/%E9%A6%99%E6%B8%AF%E9%A3%B2%E8%8C%B6%E7%82%B9%E5%BF%83%E5%8E%A8%E6%88%BF/data=!4m2!3m1!1s0x60188d63eb10c20d:0x7f8307db2bfeee14,
伊豆シャボテン動物公園,,https://www.google.com/maps/place/%E4%BC%8A%E8%B1%86%E3%82%B7%E3%83%A3%E3%83%9C%E3%83%86%E3%83%B3%E5%8B%95%E7%89%A9%E5%85%AC%E5%9C%92/data=!4m2!3m1!1s0x6019c336db85ccdd:0x5daf046e4ab33429,
中華料理 京華閣,Sent me link she wants to go,https://www.google.com/maps/place/%E4%B8%AD%E8%8F%AF%E6%96%99%E7%90%86+%E4%BA%AC%E8%8F%AF%E9%96%A3/data=!4m2!3m1!1s0x60188d6e53f14309:0xd65d2e4b1917789,
ジラフクレープ 新宿店,Crepe?,https://www.google.com/maps/place/%E3%82%B8%E3%83%A9%E3%83%95%E3%82%AF%E3%83%AC%E3%83%BC%E3%83%97+%E6%96%B0%E5%AE%BF%E5%BA%97/data=!4m2!3m1!1s0x60188d8e6a653c59:0x8af9583287d183a7,
やぐやKICHIJOJI,,https://www.google.com/maps/place/%E3%82%84%E3%81%90%E3%82%84KICHIJOJI/data=!4m2!3m1!1s0x6018ee48b2046901:0x64b12059c8bc7e16,
チンタジャワカフェ大宮,Indo omiya ,https://www.google.com/maps/place/%E3%83%81%E3%83%B3%E3%82%BF%E3%82%B8%E3%83%A3%E3%83%AF%E3%82%AB%E3%83%95%E3%82%A7%E5%A4%A7%E5%AE%AE/data=!4m2!3m1!1s0x6018c10879432d97:0x8a22435d1f07a49a,
赤羽一番街商店街,,https://www.google.com/maps/place/%E8%B5%A4%E7%BE%BD%E4%B8%80%E7%95%AA%E8%A1%97%E5%95%86%E5%BA%97%E8%A1%97/data=!4m2!3m1!1s0x601893b7a59691d7:0x9372aa14364229f9,
大宮公園,,https://www.google.com/maps/place/%E5%A4%A7%E5%AE%AE%E5%85%AC%E5%9C%92/data=!4m2!3m1!1s0x6018c137b7e10b8b:0xea4b4e85625c678b,
西安麺荘 秦唐記 神保町店,,https://www.google.com/maps/place/%E8%A5%BF%E5%AE%89%E9%BA%BA%E8%8D%98+%E7%A7%A6%E5%94%90%E8%A8%98+%E7%A5%9E%E4%BF%9D%E7%94%BA%E5%BA%97/data=!4m2!3m1!1s0x60188d429b6f1a87:0x33e5586d14a750bc,
