Title,Note,URL,Comment
カラオケBanBan西川口駅前店,Got scammed paid full price no student,https://www.google.com/maps/place/%E3%82%AB%E3%83%A9%E3%82%AA%E3%82%B1BanBan%E8%A5%BF%E5%B7%9D%E5%8F%A3%E9%A7%85%E5%89%8D%E5%BA%97/data=!4m2!3m1!1s0x6018950d37c9e04d:0x2d78d17362bb9267,
華娯KTV,Went with yx and queque,https://www.google.com/maps/place/%E8%8F%AF%E5%A8%AFKTV/data=!4m2!3m1!1s0x601894a457e163f3:0x1cdaf344541b193e,
トマト カラオケ,tj?/korean karaoke,https://www.google.com/maps/place/%E3%83%88%E3%83%9E%E3%83%88+%E3%82%AB%E3%83%A9%E3%82%AA%E3%82%B1/data=!4m2!3m1!1s0x60188d6b0a175813:0xe0425197f50a6beb,
カラオケ ビッグエコー渋谷宮益坂口駅前店,,https://www.google.com/maps/place/%E3%82%AB%E3%83%A9%E3%82%AA%E3%82%B1+%E3%83%93%E3%83%83%E3%82%B0%E3%82%A8%E3%82%B3%E3%83%BC%E6%B8%8B%E8%B0%B7%E5%AE%AE%E7%9B%8A%E5%9D%82%E5%8F%A3%E9%A7%85%E5%89%8D%E5%BA%97/data=!4m2!3m1!1s0x60188b58066cacf7:0x398874eb1583317f,
ドレミファクラブ永福町店,Haven't been yet but local karaoke,https://www.google.com/maps/place/%E3%83%89%E3%83%AC%E3%83%9F%E3%83%95%E3%82%A1%E3%82%AF%E3%83%A9%E3%83%96%E6%B0%B8%E7%A6%8F%E7%94%BA%E5%BA%97/data=!4m2!3m1!1s0x6018f253c876aa6d:0xa9f4ec0bc761a76b,
歌広場 上野店,,https://www.google.com/maps/place/%E6%AD%8C%E5%BA%83%E5%A0%B4+%E4%B8%8A%E9%87%8E%E5%BA%97/data=!4m2!3m1!1s0x60188e9fc3550631:0xdddd9d43c571892f,
カラオケルーム歌広場 池袋東口店,,https://www.google.com/maps/place/%E3%82%AB%E3%83%A9%E3%82%AA%E3%82%B1%E3%83%AB%E3%83%BC%E3%83%A0%E6%AD%8C%E5%BA%83%E5%A0%B4+%E6%B1%A0%E8%A2%8B%E6%9D%B1%E5%8F%A3%E5%BA%97/data=!4m2!3m1!1s0x60188d67ce1e9053:0xc4c5a3e8e3a938c3,
カラオケルーム歌広場 代々木店,Sakuchan anisong karaoke (20~ ppl),https://www.google.com/maps/place/%E3%82%AB%E3%83%A9%E3%82%AA%E3%82%B1%E3%83%AB%E3%83%BC%E3%83%A0%E6%AD%8C%E5%BA%83%E5%A0%B4+%E4%BB%A3%E3%80%85%E6%9C%A8%E5%BA%97/data=!4m2!3m1!1s0x60188cc5ff548ce3:0x1bf78e590cdaaf62,
カラオケまねきねこ 秋葉原店,,https://www.google.com/maps/place/%E3%82%AB%E3%83%A9%E3%82%AA%E3%82%B1%E3%81%BE%E3%81%AD%E3%81%8D%E3%81%AD%E3%81%93+%E7%A7%8B%E8%91%89%E5%8E%9F%E5%BA%97/data=!4m2!3m1!1s0x60188c1ddbde068f:0x90222a9f4d344216,
カラオケまねきねこ 八重洲店,,https://www.google.com/maps/place/%E3%82%AB%E3%83%A9%E3%82%AA%E3%82%B1%E3%81%BE%E3%81%AD%E3%81%8D%E3%81%AD%E3%81%93+%E5%85%AB%E9%87%8D%E6%B4%B2%E5%BA%97/data=!4m2!3m1!1s0x60188b6764594893:0x812f7aefcd23a9b3,
KARAOKE bar inc,,https://www.google.com/maps/place/KARAOKE+bar+inc/data=!4m2!3m1!1s0x6018f31caa6f5e2f:0xfb39d1bbe35ff04e,
カラオケルーム歌広場 渋谷宇田川交番前店,"With Carlo

Redirected for solo karaoke after being rejected at the south one, did free time here higedan songs one floor only",https://www.google.com/maps/place/%E3%82%AB%E3%83%A9%E3%82%AA%E3%82%B1%E3%83%AB%E3%83%BC%E3%83%A0%E6%AD%8C%E5%BA%83%E5%A0%B4+%E6%B8%8B%E8%B0%B7%E5%AE%87%E7%94%B0%E5%B7%9D%E4%BA%A4%E7%95%AA%E5%89%8D%E5%BA%97/data=!4m2!3m1!1s0x60188ca9066d1701:0xbc54a17e46fa1a9,
カラオケルーム歌広場 渋谷センター街別館,Got rejected on sat 3pm for going alone xd,https://www.google.com/maps/place/%E3%82%AB%E3%83%A9%E3%82%AA%E3%82%B1%E3%83%AB%E3%83%BC%E3%83%A0%E6%AD%8C%E5%BA%83%E5%A0%B4+%E6%B8%8B%E8%B0%B7%E3%82%BB%E3%83%B3%E3%82%BF%E3%83%BC%E8%A1%97%E5%88%A5%E9%A4%A8/data=!4m2!3m1!1s0x60188ca83562a5b3:0xbd476069e009beaa,
ハモニカBASE,Karaoke bar I went to with sharehouse mates on first outing ,https://www.google.com/maps/place/%E3%83%8F%E3%83%A2%E3%83%8B%E3%82%ABBASE/data=!4m2!3m1!1s0x6018efb93736f8a7:0x364a4258abfe0bb7,
カラオケルーム歌広場 西武新宿駅前店,"Nicer utahiroba
Night weekday student: 390",https://www.google.com/maps/place/%E3%82%AB%E3%83%A9%E3%82%AA%E3%82%B1%E3%83%AB%E3%83%BC%E3%83%A0%E6%AD%8C%E5%BA%83%E5%A0%B4+%E8%A5%BF%E6%AD%A6%E6%96%B0%E5%AE%BF%E9%A7%85%E5%89%8D%E5%BA%97/data=!4m2!3m1!1s0x60188db92b099b47:0x37cc552292be536c,
